DATAFLOW,LAST UPDATE,freq,ind_type,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Switzerland,2021,70.91,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Switzerland,2023,71.24,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Cyprus,2020,31.11,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Cyprus,2021,43.82,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Cyprus,2022,33.67,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Cyprus,2023,50.57,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Cyprus,2024,60.26,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Czechia,2020,58.75,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Czechia,2021,62.74,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Czechia,2022,66.35,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Czechia,2023,69.07,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Czechia,2024,74.38,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Germany,2020,75.03,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Germany,2021,69.00,b,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Germany,2022,66.23,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Germany,2023,67.52,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Germany,2024,66.76,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Denmark,2020,79.36,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Denmark,2021,82.48,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Denmark,2022,77.85,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Denmark,2023,79.78,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Denmark,2024,81.79,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,56.33,e,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,59.50,b,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,57.65,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,59.57,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,61.32,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Estonia,2020,56.53,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Estonia,2021,61.72,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Estonia,2022,59.11,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Estonia,2023,62.04,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Estonia,2024,61.99,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Greece,2020,38.28,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Greece,2021,46.76,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Greece,2022,45.80,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Greece,2023,48.30,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Greece,2024,54.17,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Spain,2020,53.82,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Spain,2021,55.22,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Spain,2022,55.26,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Spain,2023,55.85,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Spain,2024,56.70,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2020,53.76,e,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2021,56.94,b,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2022,56.02,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2023,58.06,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2024,60.21,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Finland,2020,59.66,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Finland,2021,61.96,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Finland,2022,63.47,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Finland,2023,64.39,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Finland,2024,64.47,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,France,2021,65.60,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,France,2022,63.48,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,France,2023,65.78,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,France,2024,69.31,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Croatia,2020,45.81,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Croatia,2021,45.71,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Croatia,2022,44.40,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Croatia,2023,49.93,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Croatia,2024,52.48,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Hungary,2020,49.27,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Hungary,2021,57.62,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Hungary,2022,60.75,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Hungary,2023,58.98,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Hungary,2024,61.73,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Ireland,2020,64.05,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Ireland,2021,78.82,b,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Ireland,2022,74.45,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Ireland,2023,80.49,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Ireland,2024,85.94,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Iceland,2020,61.58,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Iceland,2021,69.17,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Italy,2020,31.42,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Italy,2021,39.78,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Italy,2022,37.28,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Italy,2023,39.19,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Italy,2024,41.86,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Lithuania,2020,41.63,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Lithuania,2021,50.56,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Lithuania,2022,46.25,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Lithuania,2023,48.32,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Lithuania,2024,51.06,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Luxembourg,2020,68.94,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Luxembourg,2021,69.74,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Luxembourg,2022,70.33,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Luxembourg,2023,70.27,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Luxembourg,2024,69.63,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Latvia,2020,38.27,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Latvia,2021,50.51,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Latvia,2022,42.17,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Latvia,2023,46.28,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Latvia,2024,48.89,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Montenegro,2020,15.14,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Montenegro,2021,16.31,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Montenegro,2022,18.36,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Montenegro,2023,18.57,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Montenegro,2024,24.45,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,North Macedonia,2020,21.46,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,North Macedonia,2021,27.56,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,North Macedonia,2024,39.39,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Malta,2020,54.48,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Malta,2021,57.05,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Malta,2022,58.95,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Malta,2023,59.67,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Malta,2024,61.68,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Netherlands,2020,77.32,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Netherlands,2021,83.26,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Netherlands,2022,79.48,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Netherlands,2023,84.20,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Netherlands,2024,86.66,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Norway,2020,70.02,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Norway,2021,80.68,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Norway,2022,80.82,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Norway,2023,78.81,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Norway,2024,80.50,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Poland,2020,46.60,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Poland,2021,48.30,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Poland,2022,50.91,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Poland,2023,49.87,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Poland,2024,53.92,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Portugal,2020,35.25,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Portugal,2021,40.44,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Portugal,2022,42.67,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Portugal,2023,43.95,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Portugal,2024,48.94,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Romania,2020,22.11,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Romania,2021,23.05,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Romania,2022,27.09,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Romania,2023,31.72,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Romania,2024,35.69,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Serbia,2020,28.99,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Serbia,2021,35.69,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Serbia,2022,39.99,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Serbia,2023,45.88,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Serbia,2024,47.51,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Sweden,2020,72.86,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Sweden,2021,77.81,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Sweden,2022,75.90,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Sweden,2023,80.16,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Sweden,2024,79.22,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Slovenia,2020,51.60,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Slovenia,2021,58.84,,
