Country,Years,percentage
Italy,2022,81.93
Italy,2023,84.46
Italy,2024,87.37
Lithuania,2013,53.06
Lithuania,2014,56.55
Lithuania,2015,55.91
Lithuania,2016,60.4
Lithuania,2017,63.8
Lithuania,2018,68.19
Lithuania,2019,72.6
Lithuania,2020,74.34
Lithuania,2021,77.88
Lithuania,2022,82.3
Lithuania,2023,83.23
Lithuania,2024,85.11
Luxembourg,2013,81.6
Luxembourg,2014,87.09
Luxembourg,2015,91.88
Luxembourg,2016,92.72
Luxembourg,2017,90.93
Luxembourg,2018,86.34
Luxembourg,2019,87.06
Luxembourg,2020,91.73
Luxembourg,2021,93.63
Luxembourg,2022,91.72
Luxembourg,2023,93.13
Luxembourg,2024,94.19
Latvia,2013,60.18
Latvia,2014,61.44
Latvia,2015,66.17
Latvia,2016,68.17
Latvia,2017,69.82
Latvia,2018,73.35
Latvia,2019,75.49
Latvia,2020,79.5
Latvia,2021,83.55
Latvia,2022,85.99
Latvia,2023,87.44
Latvia,2024,89.38
Montenegro,2017,61.56
Montenegro,2018,62.67
Montenegro,2019,64.59
Montenegro,2020,69.09
Montenegro,2021,74.2
Montenegro,2022,85.02
Montenegro,2023,86.4
Montenegro,2024,87.16
North Macedonia,2013,52.33
North Macedonia,2014,53.12
North Macedonia,2015,59.62
North Macedonia,2016,61.13
North Macedonia,2017,62.0
North Macedonia,2018,68.67
North Macedonia,2019,72.77
North Macedonia,2020,70.77
North Macedonia,2021,80.48
North Macedonia,2024,88.02
Malta,2013,59.25
Malta,2014,63.29
Malta,2015,69.93
Malta,2016,71.12
Malta,2017,75.95
Malta,2018,77.08
Malta,2019,82.2
Malta,2020,83.22
Malta,2021,84.35
Malta,2022,89.51
Malta,2023,89.59
Malta,2024,91.65
Netherlands,2013,82.98
Netherlands,2014,83.99
Netherlands,2015,85.14
Netherlands,2016,86.49
Netherlands,2017,89.72
Netherlands,2018,90.23
Netherlands,2019,91.86
Netherlands,2020,90.71
Netherlands,2021,91.49
Netherlands,2022,92.63
Netherlands,2023,97.67
Netherlands,2024,98.3
Norway,2013,85.09
Norway,2014,89.23
Norway,2015,88.66
Norway,2016,92.27
Norway,2017,91.6
Norway,2018,93.43
Norway,2019,94.81
Norway,2020,94.14
Norway,2021,95.36
Norway,2022,96.3
Norway,2023,95.48
Norway,2024,95.41
Poland,2013,47.23
Poland,2014,50.73
Poland,2015,52.31
Poland,2016,57.16
Poland,2017,61.13
Poland,2018,63.91
Poland,2019,68.18
Poland,2020,72.34
Poland,2021,73.67
Poland,2022,80.32
Poland,2023,79.51
Poland,2024,83.91
Portugal,2013,47.59
Portugal,2014,50.99
Portugal,2015,55.47
Portugal,2016,59.53
Portugal,2017,62.62
Portugal,2018,63.91
Portugal,2019,65.42
Portugal,2020,70.44
Portugal,2021,74.56
Portugal,2022,79.61
Portugal,2023,81.11
Portugal,2024,84.22
Romania,2013,32.2
Romania,2014,32.46
Romania,2015,36.63
Romania,2016,42.41
Romania,2017,46.73
Romania,2018,53.38
Romania,2019,56.7
Romania,2020,62.09
Romania,2021,68.81
Romania,2022,77.17
Romania,2023,82.07
Romania,2024,85.31
Serbia,2015,54.56
Serbia,2017,62.02
Serbia,2018,67.67
Serbia,2019,72.19
Serbia,2020,72.71
Serbia,2021,74.95
Serbia,2022,81.51
Serbia,2023,82.78
Serbia,2024,84.47
Sweden,2013,81.03
Sweden,2014,82.58
Sweden,2015,81.98
Sweden,2016,85.06
Sweden,2017,90.07
Sweden,2018,87.84
Sweden,2019,91.42
Sweden,2020,92.23
Sweden,2021,92.03
Sweden,2022,94.56
Sweden,2023,95.21
Sweden,2024,95.92
Slovenia,2013,57.98
Slovenia,2014,57.83
Slovenia,2015,60.79
Slovenia,2016,64.42
Slovenia,2017,68.25
Slovenia,2018,71.08
Slovenia,2019,74.17
Slovenia,2020,76.32
Slovenia,2021,84.75
Slovenia,2022,85.64
Slovenia,2023,86.7
Slovenia,2024,87.34
Slovakia,2013,61.17
Slovakia,2014,62.44
Slovakia,2015,60.42
Slovakia,2016,67.52
Slovakia,2017,69.37
Slovakia,2018,67.85
Slovakia,2019,75.76
Slovakia,2020,79.88
Slovakia,2021,80.01
Slovakia,2022,82.82
Slovakia,2023,82.15
Slovakia,2024,84.98
Türkiye,2013,29.74
Türkiye,2014,34.54
Türkiye,2015,40.06
Türkiye,2016,48.69
Türkiye,2017,56.85
Türkiye,2018,62.97
Türkiye,2019,67.18
Türkiye,2020,70.84
Türkiye,2021,76.51
Türkiye,2022,80.02
Türkiye,2023,82.31
Türkiye,2024,84.24
United Kingdom,2013,77.96
United Kingdom,2014,81.47
United Kingdom,2015,82.53
United Kingdom,2016,87.73
United Kingdom,2017,85.12
United Kingdom,2018,90.54
United Kingdom,2019,91.46
United Kingdom,2020,93.53
Kosovo*,2017,75.7
Kosovo*,2018,82.23
Kosovo*,2019,87.46
Kosovo*,2020,92.88
