freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2013,68.32
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2014,71.15
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2015,73.32
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2016,74.14
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2017,76.2
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2018,82.17
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2019,84.58
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2020,84.48
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2021,86.2
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2022,88.65
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2023,89.75
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2024,92.77
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2013,42.51
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2014,45.52
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2015,46.48
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2016,48.59
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2017,54.04
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2018,55.31
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2019,59.77
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2020,61.76
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2021,67.42
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2022,74.87
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2023,76.74
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2024,78.79
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2014,75.91
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2017,82.04
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2019,89.02
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2021,91.35
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2023,94.83
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2013,53.14
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2014,55.91
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2015,62.77
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2016,68.52
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2017,74.15
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2018,76.79
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2019,79.19
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2020,88.36
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2021,88.56
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2022,88.06
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2023,90.77
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2024,93.92
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2013,54.34
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2014,60.35
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2015,62.72
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2016,65.13
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2017,68.27
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2018,75.45
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2019,76.1
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2020,79.35
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2021,80.54
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2022,84.15
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2023,84.66
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2024,86.58
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2013,68.55
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2014,72.09
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2015,75.43
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2016,77.79
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2017,79.48
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2018,83.54
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2019,85.11
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2020,88.08
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2021,81.77
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2022,85.0
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2023,86.3
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2024,88.0
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2013,84.33
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2014,85.0
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2015,87.29
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2016,89.34
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2017,91.36
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2018,91.69
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2019,92.09
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2020,93.79
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2021,94.68
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2022,93.54
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2023,95.19
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2024,96.52
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2013,62.67
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2014,72.6
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2015,77.38
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2016,77.08
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2017,79.39
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2018,81.83
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2019,83.2
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2020,83.89
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2021,84.94
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2022,86.71
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2023,89.02
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2024,88.64
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2013,46.69
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2014,48.85
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2015,54.59
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2016,56.67
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2017,59.43
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2018,61.01
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2019,64.5
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2020,68.7
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2021,70.16
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2022,77.27
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2023,80.02
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2024,82.53
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2013,53.85
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2014,59.96
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2015,64.25
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2016,66.79
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2017,68.98
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2018,72.08
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2019,77.61
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2020,83.07
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2021,85.83
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2022,87.11
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2023,89.98
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2024,91.54
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2013,59.5
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2014,62.7
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2015,65.36
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2016,68.53
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2017,70.63
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2018,74.07
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2019,76.95
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2020,79.69
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2021,80.41
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2022,83.93
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2023,85.87
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2024,88.3
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2013,79.76
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2014,81.26
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2015,84.05
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2016,85.21
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2017,87.19
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2018,87.93
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2019,89.82
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2020,91.94
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2021,92.54
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2022,91.71
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2023,92.84
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FI:Finland,2024,87.66
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2013,66.28
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2014,67.79
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2015,67.84
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2016,70.4
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2017,70.25
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2018,75.24
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2019,77.32
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2021,77.69
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2022,82.46
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2023,84.08
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,FR:France,2024,87.87
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2013,53.41
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2014,55.74
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2015,59.51
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2016,63.41
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2017,57.51
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2018,66.1
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2019,71.39
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2020,73.66
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2021,76.34
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2022,76.89
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2023,78.61
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HR:Croatia,2024,79.96
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2013,61.7
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2014,65.61
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2015,63.14
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2016,70.68
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2017,68.68
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2018,68.69
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2019,75.21
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2020,78.58
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2021,82.29
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2022,85.0
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2023,88.28
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,HU:Hungary,2024,90.36
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,IE:Ireland,2013,61.27
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,IE:Ireland,2014,64.64
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,IE:Ireland,2015,66.97
