Last internet use,Age and education,Country,Year,Value
in last 3 months,Individuals aged 16-24 with high formal education,Cyprus,2005,80.0
in last 3 months,Individuals aged 16-24 with low education,Cyprus,2005,58.79
in last 3 months,Individuals aged 16-24 with medium formal education,Cyprus,2005,53.24
in last 3 months,Individuals aged 25 to 54 with high formal education,Cyprus,2005,66.03
in last 3 months,Individuals aged 25 to 54 with low formal education,Cyprus,2005,4.71
in last 3 months,Individuals aged 25 to 54 with medium formal education,Cyprus,2005,24.53
in last 3 months,Individuals aged 55 to 74 with high formal education,Cyprus,2005,32.34
in last 3 months,Individuals aged 55 to 74 with low formal education,Cyprus,2005,1.18
in last 3 months,Individuals aged 55 to 74 with medium formal education,Cyprus,2005,9.89
more than a year ago,Individuals aged 16-24 with high formal education,Cyprus,2005,10.0
more than a year ago,Individuals aged 16-24 with low education,Cyprus,2005,2.51
more than a year ago,Individuals aged 16-24 with medium formal education,Cyprus,2005,10.07
more than a year ago,Individuals aged 25 to 54 with high formal education,Cyprus,2005,3.01
more than a year ago,Individuals aged 25 to 54 with low formal education,Cyprus,2005,0.59
more than a year ago,Individuals aged 25 to 54 with medium formal education,Cyprus,2005,3.63
more than a year ago,Individuals aged 55 to 74 with high formal education,Cyprus,2005,3.41
more than a year ago,Individuals aged 55 to 74 with low formal education,Cyprus,2005,0.26
more than a year ago,Individuals aged 55 to 74 with medium formal education,Cyprus,2005,2.46
Internet use: never,Individuals aged 16-24 with high formal education,Cyprus,2005,10.0
Internet use: never,Individuals aged 16-24 with low education,Cyprus,2005,33.17
Internet use: never,Individuals aged 16-24 with medium formal education,Cyprus,2005,30.94
Internet use: never,Individuals aged 25 to 54 with high formal education,Cyprus,2005,29.0
Internet use: never,Individuals aged 25 to 54 with low formal education,Cyprus,2005,94.45
Internet use: never,Individuals aged 25 to 54 with medium formal education,Cyprus,2005,70.1
Internet use: never,Individuals aged 55 to 74 with high formal education,Cyprus,2005,64.25
Internet use: never,Individuals aged 55 to 74 with low formal education,Cyprus,2005,98.56
Internet use: never,Individuals aged 55 to 74 with medium formal education,Cyprus,2005,85.77
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Denmark,2005,0.0
between 3 and 12 months ago,Individuals aged 16-24 with low education,Denmark,2005,3.44
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Denmark,2005,5.43
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Denmark,2005,2.14
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Denmark,2005,9.81
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Denmark,2005,5.86
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Denmark,2005,5.85
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Denmark,2005,3.41
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Denmark,2005,8.52
in last 3 months,Individuals aged 16-24 with high formal education,Denmark,2005,100.0
in last 3 months,Individuals aged 16-24 with low education,Denmark,2005,92.41
in last 3 months,Individuals aged 16-24 with medium formal education,Denmark,2005,94.57
in last 3 months,Individuals aged 25 to 54 with high formal education,Denmark,2005,95.89
in last 3 months,Individuals aged 25 to 54 with low formal education,Denmark,2005,73.24
in last 3 months,Individuals aged 25 to 54 with medium formal education,Denmark,2005,87.59
in last 3 months,Individuals aged 55 to 74 with high formal education,Denmark,2005,75.1
in last 3 months,Individuals aged 55 to 74 with low formal education,Denmark,2005,30.86
in last 3 months,Individuals aged 55 to 74 with medium formal education,Denmark,2005,54.31
more than a year ago,Individuals aged 16-24 with high formal education,Denmark,2005,0.0
more than a year ago,Individuals aged 16-24 with low education,Denmark,2005,2.47
more than a year ago,Individuals aged 16-24 with medium formal education,Denmark,2005,0.0
more than a year ago,Individuals aged 25 to 54 with high formal education,Denmark,2005,0.39
more than a year ago,Individuals aged 25 to 54 with low formal education,Denmark,2005,4.32
more than a year ago,Individuals aged 25 to 54 with medium formal education,Denmark,2005,2.8
more than a year ago,Individuals aged 55 to 74 with high formal education,Denmark,2005,4.31
more than a year ago,Individuals aged 55 to 74 with low formal education,Denmark,2005,5.42
more than a year ago,Individuals aged 55 to 74 with medium formal education,Denmark,2005,3.96
Internet use: never,Individuals aged 16-24 with high formal education,Denmark,2005,0.0
Internet use: never,Individuals aged 16-24 with low education,Denmark,2005,1.67
Internet use: never,Individuals aged 16-24 with medium formal education,Denmark,2005,0.0
Internet use: never,Individuals aged 25 to 54 with high formal education,Denmark,2005,1.57
Internet use: never,Individuals aged 25 to 54 with low formal education,Denmark,2005,12.62
Internet use: never,Individuals aged 25 to 54 with medium formal education,Denmark,2005,3.76
Internet use: never,Individuals aged 55 to 74 with high formal education,Denmark,2005,14.74
Internet use: never,Individuals aged 55 to 74 with low formal education,Denmark,2005,60.31
Internet use: never,Individuals aged 55 to 74 with medium formal education,Denmark,2005,33.21
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Estonia,2005,4.38
in last 3 months,Individuals aged 16-24 with low education,Estonia,2005,84.58
in last 3 months,Individuals aged 16-24 with medium formal education,Estonia,2005,93.38
in last 3 months,Individuals aged 25 to 54 with high formal education,Estonia,2005,84.78
in last 3 months,Individuals aged 25 to 54 with low formal education,Estonia,2005,30.92
in last 3 months,Individuals aged 25 to 54 with medium formal education,Estonia,2005,59.86
in last 3 months,Individuals aged 55 to 74 with high formal education,Estonia,2005,46.72
in last 3 months,Individuals aged 55 to 74 with medium formal education,Estonia,2005,13.31
Internet use: never,Individuals aged 25 to 54 with high formal education,Estonia,2005,12.22
Internet use: never,Individuals aged 25 to 54 with low formal education,Estonia,2005,64.03
Internet use: never,Individuals aged 25 to 54 with medium formal education,Estonia,2005,31.8
Internet use: never,Individuals aged 55 to 74 with high formal education,Estonia,2005,44.37
Internet use: never,Individuals aged 55 to 74 with low formal education,Estonia,2005,91.09
Internet use: never,Individuals aged 55 to 74 with medium formal education,Estonia,2005,81.99
between 3 and 12 months ago,Individuals aged 16-24 with low education,Finland,2005,1.59
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Finland,2005,1.3
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Finland,2005,1.19
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Finland,2005,4.29
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Finland,2005,1.4
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Finland,2005,0.45
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Finland,2005,1.55
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Finland,2005,4.59
in last 3 months,Individuals aged 16-24 with low education,Finland,2005,96.04
in last 3 months,Individuals aged 16-24 with medium formal education,Finland,2005,97.41
in last 3 months,Individuals aged 25 to 54 with high formal education,Finland,2005,95.2
in last 3 months,Individuals aged 25 to 54 with low formal education,Finland,2005,65.53
in last 3 months,Individuals aged 25 to 54 with medium formal education,Finland,2005,81.43
in last 3 months,Individuals aged 55 to 74 with high formal education,Finland,2005,74.37
in last 3 months,Individuals aged 55 to 74 with low formal education,Finland,2005,23.99
in last 3 months,Individuals aged 55 to 74 with medium formal education,Finland,2005,32.35
more than a year ago,Individuals aged 16-24 with low education,Finland,2005,1.5
more than a year ago,Individuals aged 16-24 with medium formal education,Finland,2005,0.65
more than a year ago,Individuals aged 25 to 54 with high formal education,Finland,2005,0.61
more than a year ago,Individuals aged 25 to 54 with low formal education,Finland,2005,3.78
more than a year ago,Individuals aged 25 to 54 with medium formal education,Finland,2005,2.18
more than a year ago,Individuals aged 55 to 74 with high formal education,Finland,2005,3.77
more than a year ago,Individuals aged 55 to 74 with low formal education,Finland,2005,4.61
more than a year ago,Individuals aged 55 to 74 with medium formal education,Finland,2005,1.78
Internet use: never,Individuals aged 16-24 with low education,Finland,2005,0.29
Internet use: never,Individuals aged 16-24 with medium formal education,Finland,2005,0.64
Internet use: never,Individuals aged 25 to 54 with high formal education,Finland,2005,2.82
Internet use: never,Individuals aged 25 to 54 with low formal education,Finland,2005,25.9
Internet use: never,Individuals aged 25 to 54 with medium formal education,Finland,2005,14.84
Internet use: never,Individuals aged 55 to 74 with high formal education,Finland,2005,21.42
Internet use: never,Individuals aged 55 to 74 with low formal education,Finland,2005,69.64
Internet use: never,Individuals aged 55 to 74 with medium formal education,Finland,2005,61.28
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Germany,2005,5.35
in last 3 months,Individuals aged 16-24 with low education,Germany,2005,91.75
in last 3 months,Individuals aged 16-24 with medium formal education,Germany,2005,94.82
in last 3 months,Individuals aged 25 to 54 with high formal education,Germany,2005,91.39
in last 3 months,Individuals aged 25 to 54 with low formal education,Germany,2005,55.6
in last 3 months,Individuals aged 25 to 54 with medium formal education,Germany,2005,76.55
in last 3 months,Individuals aged 55 to 74 with high formal education,Germany,2005,52.16
in last 3 months,Individuals aged 55 to 74 with low formal education,Germany,2005,22.05
in last 3 months,Individuals aged 55 to 74 with medium formal education,Germany,2005,33.17
more than a year ago,Individuals aged 25 to 54 with medium formal education,Germany,2005,2.63
Internet use: never,Individuals aged 25 to 54 with high formal education,Germany,2005,5.51
Internet use: never,Individuals aged 25 to 54 with low formal education,Germany,2005,35.06
Internet use: never,Individuals aged 25 to 54 with medium formal education,Germany,2005,15.43
Internet use: never,Individuals aged 55 to 74 with high formal education,Germany,2005,39.95
Internet use: never,Individuals aged 55 to 74 with low formal education,Germany,2005,74.42
Internet use: never,Individuals aged 55 to 74 with medium formal education,Germany,2005,61.31
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Greece,2005,2.85
between 3 and 12 months ago,Individuals aged 16-24 with low education,Greece,2005,4.62
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Greece,2005,4.95
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Greece,2005,3.03
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Greece,2005,0.97
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Greece,2005,2.87
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Greece,2005,2.97
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Greece,2005,0.06
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Greece,2005,0.71
in last 3 months,Individuals aged 16-24 with high formal education,Greece,2005,72.59
in last 3 months,Individuals aged 16-24 with low education,Greece,2005,36.36
in last 3 months,Individuals aged 16-24 with medium formal education,Greece,2005,48.51
in last 3 months,Individuals aged 25 to 54 with high formal education,Greece,2005,62.21
in last 3 months,Individuals aged 25 to 54 with low formal education,Greece,2005,4.78
in last 3 months,Individuals aged 25 to 54 with medium formal education,Greece,2005,25.32
in last 3 months,Individuals aged 55 to 74 with high formal education,Greece,2005,28.79
in last 3 months,Individuals aged 55 to 74 with low formal education,Greece,2005,0.46
in last 3 months,Individuals aged 55 to 74 with medium formal education,Greece,2005,8.25
more than a year ago,Individuals aged 16-24 with high formal education,Greece,2005,5.7
more than a year ago,Individuals aged 16-24 with low education,Greece,2005,3.26
more than a year ago,Individuals aged 16-24 with medium formal education,Greece,2005,6.79
more than a year ago,Individuals aged 25 to 54 with high formal education,Greece,2005,5.29
more than a year ago,Individuals aged 25 to 54 with low formal education,Greece,2005,0.52
more than a year ago,Individuals aged 25 to 54 with medium formal education,Greece,2005,4.12
more than a year ago,Individuals aged 55 to 74 with high formal education,Greece,2005,5.7
more than a year ago,Individuals aged 55 to 74 with low formal education,Greece,2005,0.23
more than a year ago,Individuals aged 55 to 74 with medium formal education,Greece,2005,0.58
Internet use: never,Individuals aged 16-24 with high formal education,Greece,2005,18.86
Internet use: never,Individuals aged 16-24 with low education,Greece,2005,55.77
Internet use: never,Individuals aged 16-24 with medium formal education,Greece,2005,39.75
Internet use: never,Individuals aged 25 to 54 with high formal education,Greece,2005,29.47
Internet use: never,Individuals aged 25 to 54 with low formal education,Greece,2005,93.73
Internet use: never,Individuals aged 25 to 54 with medium formal education,Greece,2005,67.68
Internet use: never,Individuals aged 55 to 74 with high formal education,Greece,2005,62.54
Internet use: never,Individuals aged 55 to 74 with low formal education,Greece,2005,99.26
Internet use: never,Individuals aged 55 to 74 with medium formal education,Greece,2005,90.46
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Hungary,2005,0.68
between 3 and 12 months ago,Individuals aged 16-24 with low education,Hungary,2005,2.14
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Hungary,2005,3.31
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Hungary,2005,1.96
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Hungary,2005,1.35
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Hungary,2005,3.65
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Hungary,2005,2.66
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Hungary,2005,0.26
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Hungary,2005,0.91
in last 3 months,Individuals aged 16-24 with high formal education,Hungary,2005,90.43
in last 3 months,Individuals aged 16-24 with low education,Hungary,2005,28.31
in last 3 months,Individuals aged 16-24 with medium formal education,Hungary,2005,73.23
in last 3 months,Individuals aged 25 to 54 with high formal education,Hungary,2005,85.43
in last 3 months,Individuals aged 25 to 54 with low formal education,Hungary,2005,15.51
in last 3 months,Individuals aged 25 to 54 with medium formal education,Hungary,2005,55.17
in last 3 months,Individuals aged 55 to 74 with high formal education,Hungary,2005,51.8
in last 3 months,Individuals aged 55 to 74 with low formal education,Hungary,2005,2.07
in last 3 months,Individuals aged 55 to 74 with medium formal education,Hungary,2005,16.71
more than a year ago,Individuals aged 16-24 with low education,Hungary,2005,1.03
more than a year ago,Individuals aged 16-24 with medium formal education,Hungary,2005,0.64
more than a year ago,Individuals aged 25 to 54 with high formal education,Hungary,2005,0.98
more than a year ago,Individuals aged 25 to 54 with low formal education,Hungary,2005,0.8
more than a year ago,Individuals aged 25 to 54 with medium formal education,Hungary,2005,1.72
more than a year ago,Individuals aged 55 to 74 with high formal education,Hungary,2005,0.78
more than a year ago,Individuals aged 55 to 74 with low formal education,Hungary,2005,0.17
more than a year ago,Individuals aged 55 to 74 with medium formal education,Hungary,2005,1.41
Internet use: never,Individuals aged 16-24 with high formal education,Hungary,2005,8.9
Internet use: never,Individuals aged 16-24 with low education,Hungary,2005,68.52
Internet use: never,Individuals aged 16-24 with medium formal education,Hungary,2005,22.81
Internet use: never,Individuals aged 25 to 54 with high formal education,Hungary,2005,11.63
Internet use: never,Individuals aged 25 to 54 with low formal education,Hungary,2005,82.34
Internet use: never,Individuals aged 25 to 54 with medium formal education,Hungary,2005,39.45
Internet use: never,Individuals aged 55 to 74 with high formal education,Hungary,2005,44.76
Internet use: never,Individuals aged 55 to 74 with low formal education,Hungary,2005,97.51
Internet use: never,Individuals aged 55 to 74 with medium formal education,Hungary,2005,80.97
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Ireland,2005,6.5
between 3 and 12 months ago,Individuals aged 16-24 with low education,Ireland,2005,7.03
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Ireland,2005,6.19
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Ireland,2005,3.33
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Ireland,2005,4.29
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Ireland,2005,5.39
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Ireland,2005,4.31
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Ireland,2005,1.01
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Ireland,2005,2.46
in last 3 months,Individuals aged 16-24 with high formal education,Ireland,2005,70.12
in last 3 months,Individuals aged 16-24 with low education,Ireland,2005,36.52
in last 3 months,Individuals aged 16-24 with medium formal education,Ireland,2005,46.63
in last 3 months,Individuals aged 25 to 54 with high formal education,Ireland,2005,66.57
in last 3 months,Individuals aged 25 to 54 with low formal education,Ireland,2005,19.83
in last 3 months,Individuals aged 25 to 54 with medium formal education,Ireland,2005,43.82
in last 3 months,Individuals aged 55 to 74 with high formal education,Ireland,2005,51.35
in last 3 months,Individuals aged 55 to 74 with low formal education,Ireland,2005,7.39
in last 3 months,Individuals aged 55 to 74 with medium formal education,Ireland,2005,26.38
more than a year ago,Individuals aged 16-24 with high formal education,Ireland,2005,8.64
more than a year ago,Individuals aged 16-24 with low education,Ireland,2005,4.37
more than a year ago,Individuals aged 16-24 with medium formal education,Ireland,2005,6.09
more than a year ago,Individuals aged 25 to 54 with high formal education,Ireland,2005,2.15
more than a year ago,Individuals aged 25 to 54 with low formal education,Ireland,2005,3.2
more than a year ago,Individuals aged 25 to 54 with medium formal education,Ireland,2005,4.12
more than a year ago,Individuals aged 55 to 74 with high formal education,Ireland,2005,2.0
more than a year ago,Individuals aged 55 to 74 with low formal education,Ireland,2005,0.75
more than a year ago,Individuals aged 55 to 74 with medium formal education,Ireland,2005,2.56
Internet use: never,Individuals aged 16-24 with high formal education,Ireland,2005,14.75
Internet use: never,Individuals aged 16-24 with low education,Ireland,2005,52.08
Internet use: never,Individuals aged 16-24 with medium formal education,Ireland,2005,41.09
Internet use: never,Individuals aged 25 to 54 with high formal education,Ireland,2005,27.96
Internet use: never,Individuals aged 25 to 54 with low formal education,Ireland,2005,72.68
Internet use: never,Individuals aged 25 to 54 with medium formal education,Ireland,2005,46.67
Internet use: never,Individuals aged 55 to 74 with high formal education,Ireland,2005,42.34
Internet use: never,Individuals aged 55 to 74 with low formal education,Ireland,2005,90.84
Internet use: never,Individuals aged 55 to 74 with medium formal education,Ireland,2005,68.6
between 3 and 12 months ago,Individuals aged 16-24 with low education,Italy,2005,2.39
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Italy,2005,2.81
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Italy,2005,1.57
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Italy,2005,1.59
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Italy,2005,2.73
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Italy,2005,0.31
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Italy,2005,1.87
in last 3 months,Individuals aged 16-24 with high formal education,Italy,2005,83.25
in last 3 months,Individuals aged 16-24 with low education,Italy,2005,52.02
in last 3 months,Individuals aged 16-24 with medium formal education,Italy,2005,70.3
in last 3 months,Individuals aged 25 to 54 with high formal education,Italy,2005,79.28
in last 3 months,Individuals aged 25 to 54 with low formal education,Italy,2005,15.01
in last 3 months,Individuals aged 25 to 54 with medium formal education,Italy,2005,54.18
in last 3 months,Individuals aged 55 to 74 with high formal education,Italy,2005,45.76
in last 3 months,Individuals aged 55 to 74 with low formal education,Italy,2005,2.84
in last 3 months,Individuals aged 55 to 74 with medium formal education,Italy,2005,25.51
Internet use: never,Individuals aged 16-24 with low education,Italy,2005,42.97
Internet use: never,Individuals aged 16-24 with medium formal education,Italy,2005,23.8
Internet use: never,Individuals aged 25 to 54 with high formal education,Italy,2005,17.03
Internet use: never,Individuals aged 25 to 54 with low formal education,Italy,2005,80.68
Internet use: never,Individuals aged 25 to 54 with medium formal education,Italy,2005,40.64
Internet use: never,Individuals aged 55 to 74 with high formal education,Italy,2005,49.46
Internet use: never,Individuals aged 55 to 74 with low formal education,Italy,2005,93.42
Internet use: never,Individuals aged 55 to 74 with medium formal education,Italy,2005,68.89
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Latvia,2005,2.9
between 3 and 12 months ago,Individuals aged 16-24 with low education,Latvia,2005,8.05
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Latvia,2005,7.6
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Latvia,2005,4.3
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Latvia,2005,2.14
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Latvia,2005,6.0
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Latvia,2005,3.98
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Latvia,2005,0.15
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Latvia,2005,1.2
in last 3 months,Individuals aged 16-24 with high formal education,Latvia,2005,97.1
in last 3 months,Individuals aged 16-24 with low education,Latvia,2005,76.31
in last 3 months,Individuals aged 16-24 with medium formal education,Latvia,2005,86.32
in last 3 months,Individuals aged 25 to 54 with high formal education,Latvia,2005,80.16
in last 3 months,Individuals aged 25 to 54 with low formal education,Latvia,2005,15.61
in last 3 months,Individuals aged 25 to 54 with medium formal education,Latvia,2005,36.01
in last 3 months,Individuals aged 55 to 74 with high formal education,Latvia,2005,31.94
in last 3 months,Individuals aged 55 to 74 with low formal education,Latvia,2005,0.67
in last 3 months,Individuals aged 55 to 74 with medium formal education,Latvia,2005,7.89
more than a year ago,Individuals aged 16-24 with high formal education,Latvia,2005,0.0
more than a year ago,Individuals aged 16-24 with low education,Latvia,2005,3.57
more than a year ago,Individuals aged 16-24 with medium formal education,Latvia,2005,2.37
more than a year ago,Individuals aged 25 to 54 with high formal education,Latvia,2005,3.58
more than a year ago,Individuals aged 25 to 54 with low formal education,Latvia,2005,0.82
more than a year ago,Individuals aged 25 to 54 with medium formal education,Latvia,2005,3.59
more than a year ago,Individuals aged 55 to 74 with high formal education,Latvia,2005,3.32
more than a year ago,Individuals aged 55 to 74 with low formal education,Latvia,2005,0.0
