time_period,geo,indic_is,ind_type,obs_value
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",63.38
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",49.07
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",40.23
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",27.24
2019,Austria,Individuals with low overall digital skills,All individuals,20.93
2019,Austria,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",7.9
2019,Austria,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",10.05
2019,Austria,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",11.0
2019,Austria,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",11.48
2019,Austria,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",12.36
2019,Austria,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",13.6
2019,Austria,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",20.15
2019,Austria,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",22.3
2019,Austria,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",19.52
2019,Austria,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",26.49
2019,Austria,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",28.83
2019,Austria,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",26.87
2019,Austria,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",23.99
2019,Austria,Individuals with no overall digital skills,All individuals,1.28
2019,Austria,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.0
2019,Austria,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.0
2019,Austria,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.0
2019,Austria,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.0
2019,Austria,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.0
2019,Austria,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.75
2019,Austria,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",0.86
2019,Austria,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",1.34
2019,Austria,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.33
2019,Austria,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",1.41
2019,Austria,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",2.8
2019,Austria,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",2.56
2019,Austria,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",2.22
2019,Belgium,Individuals with above basic overall digital skills,All individuals,34.18
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",50.26
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",51.12
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",50.09
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",51.79
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",48.44
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",46.53
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",40.74
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",35.62
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",42.7
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",33.45
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",20.19
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",15.46
2019,Belgium,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",9.24
2019,Belgium,Individuals with basic overall digital skills,All individuals,26.65
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",29.46
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",28.21
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",27.53
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",27.22
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",26.44
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",26.43
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",27.3
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",26.74
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",27.51
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",27.91
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",25.04
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",24.86
2019,Belgium,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",24.62
2019,Belgium,Individuals with basic or above basic overall digital skills,All individuals,60.83
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",79.73
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",79.33
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",77.63
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",79.01
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",74.88
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",72.96
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",68.04
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",62.35
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",70.22
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",61.36
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",45.23
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",40.32
2019,Belgium,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",33.86
2019,Belgium,Individuals with low overall digital skills,All individuals,29.23
2019,Belgium,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",17.06
2019,Belgium,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",18.41
2019,Belgium,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",19.73
2019,Belgium,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",19.48
2019,Belgium,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",21.87
2019,Belgium,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",23.7
2019,Belgium,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",27.37
2019,Belgium,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",30.24
2019,Belgium,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",25.62
2019,Belgium,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",32.46
2019,Belgium,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",38.89
2019,Belgium,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",37.21
2019,Belgium,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",35.0
2019,Belgium,Individuals with no overall digital skills,All individuals,0.21
2019,Belgium,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.0
2019,Belgium,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.0
2019,Belgium,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.0
2019,Belgium,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.0
2019,Belgium,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.0
2019,Belgium,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.0
2019,Belgium,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",0.14
2019,Belgium,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",0.18
2019,Belgium,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.26
2019,Belgium,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",0.15
2019,Belgium,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",0.3
2019,Belgium,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",0.43
2019,Belgium,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",0.6
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,All individuals,7.79
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",12.91
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",22.13
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",20.24
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",24.27
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",17.29
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",15.34
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",10.13
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",7.26
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",11.16
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",6.56
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",1.11
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",1.11
2019,Bosnia and Herzegovina,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",1.12
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,All individuals,16.36
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",45.07
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",34.6
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",35.63
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",32.17
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",37.25
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",38.16
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",21.39
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",16.74
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",16.41
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",15.67
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",6.8
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",5.4
2019,Bosnia and Herzegovina,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",3.59
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,All individuals,24.15
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",57.97
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",56.73
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",55.88
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",56.44
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",54.54
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",53.5
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",31.52
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",24.0
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",27.57
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",22.22
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",7.91
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",6.52
2019,Bosnia and Herzegovina,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",4.71
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,All individuals,45.54
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",40.74
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",41.17
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",42.31
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",41.27
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",44.09
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",44.37
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",53.73
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",51.97
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",61.11
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",53.71
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",48.21
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",36.8
2019,Bosnia and Herzegovina,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",22.0
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,All individuals,0.26
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.0
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.0
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.0
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.0
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.0
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.0
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",0.53
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",0.37
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",1.09
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",0.43
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",0.02
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",0.01
2019,Bosnia and Herzegovina,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",0.0
2019,Bulgaria,Individuals with above basic overall digital skills,All individuals,11.29
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",25.34
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",28.96
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",25.48
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",31.76
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",20.67
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",18.21
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",13.32
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",11.17
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",12.54
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",9.69
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",4.59
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",2.64
2019,Bulgaria,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",0.51
2019,Bulgaria,Individuals with basic overall digital skills,All individuals,18.11
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",31.71
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",28.55
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",27.34
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",26.09
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",25.67
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",25.32
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",22.95
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",19.95
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",24.24
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",19.44
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",10.81
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",7.21
2019,Bulgaria,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",3.27
2019,Bulgaria,Individuals with basic or above basic overall digital skills,All individuals,29.4
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",57.05
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",57.5
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",52.81
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",57.85
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",46.34
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",43.53
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",36.27
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",31.12
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",36.77
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",29.14
2019,Bulgaria,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",15.4
