DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2005,77.5,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2006,73.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2007,77.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2008,77.1,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2009,77.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2010,74.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2011,76.2,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2012,78.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2013,77.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2014,72.9,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2015,70.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2016,71.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2017,68.3,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2018,76.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2019,75.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2020,72.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2021,71.0,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2022,64.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2023,64.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2004,,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2005,79.6,bu,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2006,82.1,bu,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2007,83.1,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2008,85.3,bu,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2009,,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2010,72.3,bu,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2011,85.3,bu,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2012,78.7,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2013,76.5,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2014,79.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2015,86.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2016,79.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2017,69.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2018,75.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2019,73.9,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2020,68.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2021,63.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2022,58.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bulgaria,2023,66.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2004,61.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2005,59.3,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2006,54.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2007,54.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2008,56.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2009,58.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2010,52.3,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2011,54.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2012,56.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2013,54.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2014,56.4,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2015,51.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2016,52.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2017,49.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2018,51.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2019,56.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2020,52.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2021,54.9,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2022,61.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Switzerland,2023,64.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2004,87.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2005,88.0,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2006,82.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2007,81.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2008,80.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2009,79.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2010,80.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2011,76.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2012,80.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2013,74.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2014,77.9,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2015,77.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2016,70.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2017,71.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2018,69.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2019,69.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2020,73.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2021,71.9,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2022,65.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Cyprus,2023,59.5,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2004,,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2005,,bu,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2006,86.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2007,90.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2008,91.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2009,88.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2010,86.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2011,87.2,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2012,89.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2013,82.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2014,76.8,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2015,81.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2016,77.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2017,77.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2018,70.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2019,74.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2020,80.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2021,76.9,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2022,73.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Czechia,2023,75.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2004,62.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2005,60.5,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2006,63.6,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2007,61.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2008,69.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2009,65.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2010,65.2,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2011,68.6,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2012,68.3,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2013,67.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2014,66.5,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2015,63.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2016,62.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2017,61.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2018,60.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2019,60.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2020,60.2,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2021,62.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2022,63.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Germany,2023,62.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2004,55.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2005,66.4,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2006,61.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2007,59.0,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2008,60.4,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2009,52.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2010,53.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2011,50.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2012,54.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2013,55.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2014,54.2,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2015,50.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2016,54.1,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2017,63.4,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2018,55.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2019,62.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2020,68.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2021,64.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2022,64.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Denmark,2023,65.6,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2004,,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2005,77.5,bu,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2006,85.5,u,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2007,79.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2008,85.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2009,94.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2010,87.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2011,86.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2012,77.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2013,83.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2014,80.3,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2015,82.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2016,76.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2017,76.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2018,72.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2019,68.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2020,72.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2021,73.1,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2022,74.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Estonia,2023,74.4,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2004,90.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2005,90.3,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2006,88.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2007,85.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2008,89.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2009,86.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2010,83.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2011,82.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2012,80.6,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2013,80.7,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2014,82.3,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2015,80.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Greece,2016,77.5,,
