STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2015,,13.7,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2016,,14.2,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2017,,10.7,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2018,,19.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2019,,25.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2020,,14.5,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2021,,13.9,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2022,,14.6,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2023,,18.2,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BA,Bosnia and Herzegovina,2021,,22.2,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BA,Bosnia and Herzegovina,2022,,28.5,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BA,Bosnia and Herzegovina,2023,,18.1,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2004,,15.0,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2005,,16.8,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2006,,15.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2007,,14.5,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2008,,15.2,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2009,,12.5,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2010,,13.4,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2011,,13.1,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2012,,12.2,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2013,,10.7,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2014,,12.5,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2015,,9.5,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2016,,12.7,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2017,,14.6,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2018,,7.4,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2019,,13.4,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2020,,10.9,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2021,,10.8,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2022,,11.3,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BE,Belgium,2023,,15.2,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2004,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2005,,54.1,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2006,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2007,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2008,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2009,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2010,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2011,,41.6,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2012,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2013,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2014,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2015,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2016,,29.2,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2017,,33.8,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2018,,24.4,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2019,,29.2,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2020,,27.5,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2021,,36.6,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2022,,31.3,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,BG,Bulgaria,2023,,33.4,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2004,,9.5,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2005,,6.1,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2006,,9.4,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2007,,10.6,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2008,,10.9,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2009,,11.1,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2010,,12.9,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2011,,12.7,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2012,,12.4,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2013,,14.3,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2014,,15.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2015,,16.5,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2016,,14.6,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2017,,15.1,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2018,,14.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2019,,14.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2020,,14.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2021,,13.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2022,,11.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CH,Switzerland,2023,,10.5,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2004,,24.4,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2005,,43.1,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2006,,35.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2007,,26.5,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2008,,32.8,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2009,,38.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2010,,38.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2011,,40.9,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2012,,39.3,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2013,,34.3,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2014,,25.0,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2015,,33.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2016,,32.6,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2017,,22.9,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2018,,24.5,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2019,,26.9,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2020,,27.5,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2021,,26.9,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2022,,30.2,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CY,Cyprus,2023,,29.3,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2004,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2005,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2006,,9.6,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2007,,5.5,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2008,,6.8,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2009,,6.0,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2010,,4.9,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2011,,6.5,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2012,,3.7,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2013,,13.1,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2014,,9.4,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2015,,10.8,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2016,,12.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2017,,7.2,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2018,,10.1,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2019,,8.0,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2020,,11.1,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2021,,7.4,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2022,,10.1,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,CZ,Czechia,2023,,13.1,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2004,,16.3,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2005,,15.4,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2006,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2007,,19.1,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2008,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2009,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2010,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2011,,13.6,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2012,,13.3,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2013,,13.9,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2014,,13.3,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2015,,13.3,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2016,,13.4,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2017,,13.8,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2018,,13.5,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2019,,13.8,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2020,,14.5,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2021,,15.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2022,,15.1,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DE,Germany,2023,,15.3,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2004,,29.3,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2005,,21.6,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2006,,17.9,,,,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2007,,17.0,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2008,,17.1,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2009,,19.3,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2010,,21.6,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2011,,18.3,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2012,,16.9,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2013,,16.9,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,DK,Denmark,2014,,16.1,,bu,"break in time series, low reliability",,
