DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2021,71.42,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2023,80.38,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2024,84.72,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2013,68.32,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2014,71.15,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2015,73.32,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2016,74.14,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2017,76.20,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2018,82.17,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2019,84.58,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2020,84.48,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2021,86.20,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2022,88.65,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2023,89.75,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BE:Belgium,2024,92.77,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2013,42.51,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2014,45.52,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2015,46.48,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2016,48.59,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2017,54.04,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2018,55.31,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2019,59.77,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2020,61.76,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2021,67.42,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2022,74.87,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2023,76.74,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BG:Bulgaria,2024,78.79,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2014,75.91,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2017,82.04,b,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2019,89.02,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2021,91.35,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CH:Switzerland,2023,94.83,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2013,53.14,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2014,55.91,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2015,62.77,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2016,68.52,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2017,74.15,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2018,76.79,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2019,79.19,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2020,88.36,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2021,88.56,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2022,88.06,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2023,90.77,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CY:Cyprus,2024,93.92,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2013,54.34,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2014,60.35,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2015,62.72,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2016,65.13,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2017,68.27,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2018,75.45,b,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2019,76.10,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2020,79.35,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2021,80.54,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2022,84.15,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2023,84.66,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,CZ:Czechia,2024,86.58,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2013,68.55,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2014,72.09,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2015,75.43,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2016,77.79,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2017,79.48,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2018,83.54,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2019,85.11,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2020,88.08,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2021,81.77,b,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2022,85.00,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2023,86.30,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DE:Germany,2024,88.00,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2013,84.33,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2014,85.00,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2015,87.29,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2016,89.34,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2017,91.36,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2018,91.69,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2019,92.09,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2020,93.79,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2021,94.68,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2022,93.54,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2023,95.19,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,DK:Denmark,2024,96.52,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2013,62.67,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2014,72.60,b,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2015,77.38,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2016,77.08,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2017,79.39,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2018,81.83,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2019,83.20,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2020,83.89,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2021,84.94,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2022,86.71,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2023,89.02,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EE:Estonia,2024,88.64,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2013,46.69,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2014,48.85,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2015,54.59,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2016,56.67,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2017,59.43,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2018,61.01,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2019,64.50,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2020,68.70,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2021,70.16,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2022,77.27,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2023,80.02,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EL:Greece,2024,82.53,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2013,53.85,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2014,59.96,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2015,64.25,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2016,66.79,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2017,68.98,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2018,72.08,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2019,77.61,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2020,83.07,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2021,85.83,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2022,87.11,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2023,89.98,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,ES:Spain,2024,91.54,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2013,59.50,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,EU27_2020:European Union - 27 countries (from 2020),2014,62.70,,
