reason_to_discriminate,Country,percentage_of_individual
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Belgium,8.41
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Bulgaria,28.72
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Cyprus,21.11
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Germany,7.68
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Denmark,13.76
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",13.88
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Estonia,9.0
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Greece,15.92
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),European Union - 27 countries (from 2020),13.82
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Finland,15.32
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),France,14.91
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Croatia,1.03
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Hungary,15.38
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Lithuania,16.05
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Luxembourg,15.71
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Latvia,5.68
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Malta,20.07
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Netherlands,26.2
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Poland,23.18
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Portugal,30.17
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Sweden,10.19
Individuals who believed that these groups of people were attacked/targeted because of sexual orientation (LGBTIQ identities),Slovenia,9.22
