Reason,Country,Year,Value
other reasons,Hungary,2011,3.8
privacy or security concerns,Hungary,2011,3.5
lack of skills,Hungary,2011,13.58
"access costs are too high (telephone, etc.)",Ireland,2011,2.64
broadband is not available in the area,Ireland,2011,0.51
access elsewhere,Ireland,2011,2.34
equipment costs are too high,Ireland,2011,3.01
"access not needed (content is not useful, interesting, etc.)",Ireland,2011,9.67
other reasons,Ireland,2011,2.24
privacy or security concerns,Ireland,2011,0.37
lack of skills,Ireland,2011,5.57
"access costs are too high (telephone, etc.)",Italy,2011,4.48
broadband is not available in the area,Italy,2011,1.17
access elsewhere,Italy,2011,6.41
equipment costs are too high,Italy,2011,4.2
"access not needed (content is not useful, interesting, etc.)",Italy,2011,10.02
other reasons,Italy,2011,3.29
privacy or security concerns,Italy,2011,1.01
lack of skills,Italy,2011,13.95
"access costs are too high (telephone, etc.)",Latvia,2011,18.86
broadband is not available in the area,Latvia,2011,3.31
access elsewhere,Latvia,2011,11.67
equipment costs are too high,Latvia,2011,21.68
"access not needed (content is not useful, interesting, etc.)",Latvia,2011,19.76
other reasons,Latvia,2011,0.14
privacy or security concerns,Latvia,2011,5.3
lack of skills,Latvia,2011,20.64
"access costs are too high (telephone, etc.)",Lithuania,2011,7.24
broadband is not available in the area,Lithuania,2011,0.55
access elsewhere,Lithuania,2011,3.11
equipment costs are too high,Lithuania,2011,7.45
"access not needed (content is not useful, interesting, etc.)",Lithuania,2011,27.09
other reasons,Lithuania,2011,0.31
privacy or security concerns,Lithuania,2011,0.28
lack of skills,Lithuania,2011,4.48
"access costs are too high (telephone, etc.)",Luxembourg,2011,0.49
broadband is not available in the area,Luxembourg,2011,0.08
access elsewhere,Luxembourg,2011,1.53
equipment costs are too high,Luxembourg,2011,0.59
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2011,7.11
other reasons,Luxembourg,2011,0.65
privacy or security concerns,Luxembourg,2011,1.17
lack of skills,Luxembourg,2011,1.92
"access costs are too high (telephone, etc.)",Malta,2011,1.32
broadband is not available in the area,Malta,2011,0.06
access elsewhere,Malta,2011,1.41
equipment costs are too high,Malta,2011,9.63
"access not needed (content is not useful, interesting, etc.)",Malta,2011,3.24
other reasons,Malta,2011,3.3
privacy or security concerns,Malta,2011,10.34
lack of skills,Malta,2011,1.06
"access costs are too high (telephone, etc.)",Netherlands,2011,0.5
broadband is not available in the area,Netherlands,2011,0.17
access elsewhere,Netherlands,2011,0.61
equipment costs are too high,Netherlands,2011,0.54
"access not needed (content is not useful, interesting, etc.)",Netherlands,2011,3.99
other reasons,Netherlands,2011,0.68
privacy or security concerns,Netherlands,2011,0.62
lack of skills,Netherlands,2011,1.03
"access costs are too high (telephone, etc.)",Poland,2011,7.24
broadband is not available in the area,Poland,2011,0.57
access elsewhere,Poland,2011,2.37
equipment costs are too high,Poland,2011,9.43
"access not needed (content is not useful, interesting, etc.)",Poland,2011,17.78
other reasons,Poland,2011,2.23
privacy or security concerns,Poland,2011,0.56
lack of skills,Poland,2011,12.16
"access costs are too high (telephone, etc.)",Portugal,2011,12.96
broadband is not available in the area,Portugal,2011,0.79
access elsewhere,Portugal,2011,3.56
equipment costs are too high,Portugal,2011,15.29
"access not needed (content is not useful, interesting, etc.)",Portugal,2011,23.39
other reasons,Portugal,2011,1.19
privacy or security concerns,Portugal,2011,3.1
lack of skills,Portugal,2011,28.64
"access costs are too high (telephone, etc.)",Romania,2011,24.19
broadband is not available in the area,Romania,2011,2.35
access elsewhere,Romania,2011,5.89
equipment costs are too high,Romania,2011,27.19
"access not needed (content is not useful, interesting, etc.)",Romania,2011,15.98
other reasons,Romania,2011,5.29
privacy or security concerns,Romania,2011,2.88
lack of skills,Romania,2011,21.33
"access costs are too high (telephone, etc.)",Slovakia,2011,5.4
broadband is not available in the area,Slovakia,2011,0.23
access elsewhere,Slovakia,2011,6.21
equipment costs are too high,Slovakia,2011,5.29
"access not needed (content is not useful, interesting, etc.)",Slovakia,2011,9.39
other reasons,Slovakia,2011,3.04
privacy or security concerns,Slovakia,2011,1.12
lack of skills,Slovakia,2011,14.3
"access costs are too high (telephone, etc.)",Slovenia,2011,13.62
broadband is not available in the area,Slovenia,2011,3.36
access elsewhere,Slovenia,2011,3.95
equipment costs are too high,Slovenia,2011,13.38
"access not needed (content is not useful, interesting, etc.)",Slovenia,2011,16.96
other reasons,Slovenia,2011,0.79
privacy or security concerns,Slovenia,2011,7.07
lack of skills,Slovenia,2011,17.32
"access costs are too high (telephone, etc.)",Spain,2011,7.58
broadband is not available in the area,Spain,2011,1.06
access elsewhere,Spain,2011,4.8
equipment costs are too high,Spain,2011,7.9
"access not needed (content is not useful, interesting, etc.)",Spain,2011,24.51
other reasons,Spain,2011,0.92
privacy or security concerns,Spain,2011,1.03
lack of skills,Spain,2011,11.0
"access costs are too high (telephone, etc.)",Sweden,2011,1.65
broadband is not available in the area,Sweden,2011,1.61
access elsewhere,Sweden,2011,2.64
equipment costs are too high,Sweden,2011,1.61
"access not needed (content is not useful, interesting, etc.)",Sweden,2011,5.94
other reasons,Sweden,2011,1.62
privacy or security concerns,Sweden,2011,0.8
lack of skills,Sweden,2011,3.4
"access costs are too high (telephone, etc.)",United Kingdom,2011,2.82
broadband is not available in the area,United Kingdom,2011,0.08
access elsewhere,United Kingdom,2011,1.87
equipment costs are too high,United Kingdom,2011,4.17
"access not needed (content is not useful, interesting, etc.)",United Kingdom,2011,7.51
other reasons,United Kingdom,2011,2.81
privacy or security concerns,United Kingdom,2011,0.99
lack of skills,United Kingdom,2011,3.24
"access costs are too high (telephone, etc.)",Austria,2012,3.31
broadband is not available in the area,Austria,2012,0.63
access elsewhere,Austria,2012,3.52
equipment costs are too high,Austria,2012,3.33
"access not needed (content is not useful, interesting, etc.)",Austria,2012,15.98
other reasons,Austria,2012,0.48
privacy or security concerns,Austria,2012,2.94
lack of skills,Austria,2012,6.01
"access costs are too high (telephone, etc.)",Belgium,2012,5.4
broadband is not available in the area,Belgium,2012,0.05
access elsewhere,Belgium,2012,2.44
equipment costs are too high,Belgium,2012,6.2
"access not needed (content is not useful, interesting, etc.)",Belgium,2012,9.16
other reasons,Belgium,2012,1.93
privacy or security concerns,Belgium,2012,1.42
lack of skills,Belgium,2012,6.06
"access costs are too high (telephone, etc.)",Bulgaria,2012,10.55
broadband is not available in the area,Bulgaria,2012,0.35
access elsewhere,Bulgaria,2012,2.67
equipment costs are too high,Bulgaria,2012,15.46
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2012,21.03
other reasons,Bulgaria,2012,4.65
privacy or security concerns,Bulgaria,2012,0.44
lack of skills,Bulgaria,2012,20.24
"access costs are too high (telephone, etc.)",Croatia,2012,9.17
broadband is not available in the area,Croatia,2012,1.83
access elsewhere,Croatia,2012,2.68
equipment costs are too high,Croatia,2012,9.34
"access not needed (content is not useful, interesting, etc.)",Croatia,2012,21.33
other reasons,Croatia,2012,1.47
privacy or security concerns,Croatia,2012,2.41
lack of skills,Croatia,2012,8.28
"access costs are too high (telephone, etc.)",Cyprus,2012,10.24
broadband is not available in the area,Cyprus,2012,1.02
access elsewhere,Cyprus,2012,8.35
equipment costs are too high,Cyprus,2012,9.53
"access not needed (content is not useful, interesting, etc.)",Cyprus,2012,19.35
other reasons,Cyprus,2012,0.45
privacy or security concerns,Cyprus,2012,1.73
lack of skills,Cyprus,2012,20.22
"access costs are too high (telephone, etc.)",Denmark,2012,0.55
broadband is not available in the area,Denmark,2012,0.18
access elsewhere,Denmark,2012,0.71
equipment costs are too high,Denmark,2012,0.84
"access not needed (content is not useful, interesting, etc.)",Denmark,2012,4.18
other reasons,Denmark,2012,0.99
privacy or security concerns,Denmark,2012,0.05
lack of skills,Denmark,2012,2.28
"access costs are too high (telephone, etc.)",EU-27(from 2020),2012,6.15
broadband is not available in the area,EU-27(from 2020),2012,0.65
access elsewhere,EU-27(from 2020),2012,3.52
equipment costs are too high,EU-27(from 2020),2012,6.76
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2012,11.88
other reasons,EU-27(from 2020),2012,2.22
privacy or security concerns,EU-27(from 2020),2012,1.86
lack of skills,EU-27(from 2020),2012,9.1
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2012,5.68
broadband is not available in the area,EU-28(2013-2020),2012,0.57
access elsewhere,EU-28(2013-2020),2012,3.28
equipment costs are too high,EU-28(2013-2020),2012,6.15
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2012,11.23
other reasons,EU-28(2013-2020),2012,2.13
privacy or security concerns,EU-28(2013-2020),2012,1.72
lack of skills,EU-28(2013-2020),2012,8.3
"access costs are too high (telephone, etc.)",Estonia,2012,14.35
broadband is not available in the area,Estonia,2012,1.45
access elsewhere,Estonia,2012,5.26
equipment costs are too high,Estonia,2012,17.02
"access not needed (content is not useful, interesting, etc.)",Estonia,2012,15.52
other reasons,Estonia,2012,0.47
privacy or security concerns,Estonia,2012,2.1
lack of skills,Estonia,2012,18.26
"access costs are too high (telephone, etc.)",Finland,2012,3.24
broadband is not available in the area,Finland,2012,1.23
access elsewhere,Finland,2012,3.4
equipment costs are too high,Finland,2012,3.89
"access not needed (content is not useful, interesting, etc.)",Finland,2012,9.29
other reasons,Finland,2012,1.72
privacy or security concerns,Finland,2012,4.52
lack of skills,Finland,2012,7.65
"access costs are too high (telephone, etc.)",France,2012,6.28
broadband is not available in the area,France,2012,0.72
access elsewhere,France,2012,2.93
equipment costs are too high,France,2012,6.62
"access not needed (content is not useful, interesting, etc.)",France,2012,4.9
other reasons,France,2012,5.53
privacy or security concerns,France,2012,2.74
lack of skills,France,2012,5.74
"access costs are too high (telephone, etc.)",Germany,2012,3.79
broadband is not available in the area,Germany,2012,0.47
access elsewhere,Germany,2012,2.92
equipment costs are too high,Germany,2012,4.26
"access not needed (content is not useful, interesting, etc.)",Germany,2012,9.17
other reasons,Germany,2012,0.08
privacy or security concerns,Germany,2012,3.11
lack of skills,Germany,2012,4.84
"access costs are too high (telephone, etc.)",Greece,2012,6.82
broadband is not available in the area,Greece,2012,0.75
access elsewhere,Greece,2012,2.96
equipment costs are too high,Greece,2012,7.84
"access not needed (content is not useful, interesting, etc.)",Greece,2012,16.11
other reasons,Greece,2012,6.93
privacy or security concerns,Greece,2012,0.82
lack of skills,Greece,2012,25.24
"access costs are too high (telephone, etc.)",Hungary,2012,14.56
broadband is not available in the area,Hungary,2012,1.16
access elsewhere,Hungary,2012,6.73
equipment costs are too high,Hungary,2012,16.99
"access not needed (content is not useful, interesting, etc.)",Hungary,2012,20.36
other reasons,Hungary,2012,2.25
privacy or security concerns,Hungary,2012,3.26
lack of skills,Hungary,2012,13.61
"access costs are too high (telephone, etc.)",Ireland,2012,2.6
broadband is not available in the area,Ireland,2012,0.4
access elsewhere,Ireland,2012,2.08
equipment costs are too high,Ireland,2012,2.72
"access not needed (content is not useful, interesting, etc.)",Ireland,2012,7.38
other reasons,Ireland,2012,2.21
privacy or security concerns,Ireland,2012,0.54
lack of skills,Ireland,2012,6.65
"access costs are too high (telephone, etc.)",Italy,2012,5.09
broadband is not available in the area,Italy,2012,0.86
access elsewhere,Italy,2012,6.48
equipment costs are too high,Italy,2012,4.47
"access not needed (content is not useful, interesting, etc.)",Italy,2012,9.83
other reasons,Italy,2012,2.44
privacy or security concerns,Italy,2012,1.13
lack of skills,Italy,2012,13.59
"access costs are too high (telephone, etc.)",Latvia,2012,5.85
broadband is not available in the area,Latvia,2012,0.55
access elsewhere,Latvia,2012,6.98
equipment costs are too high,Latvia,2012,9.8
"access not needed (content is not useful, interesting, etc.)",Latvia,2012,16.25
other reasons,Latvia,2012,0.51
privacy or security concerns,Latvia,2012,0.29
lack of skills,Latvia,2012,8.51
"access costs are too high (telephone, etc.)",Lithuania,2012,8.06
broadband is not available in the area,Lithuania,2012,0.69
access elsewhere,Lithuania,2012,4.03
equipment costs are too high,Lithuania,2012,8.56
"access not needed (content is not useful, interesting, etc.)",Lithuania,2012,25.51
other reasons,Lithuania,2012,0.35
privacy or security concerns,Lithuania,2012,0.27
lack of skills,Lithuania,2012,5.51
"access costs are too high (telephone, etc.)",Luxembourg,2012,0.42
broadband is not available in the area,Luxembourg,2012,0.34
access elsewhere,Luxembourg,2012,1.1
equipment costs are too high,Luxembourg,2012,0.5
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2012,3.47
other reasons,Luxembourg,2012,1.2
privacy or security concerns,Luxembourg,2012,0.86
lack of skills,Luxembourg,2012,1.61
"access costs are too high (telephone, etc.)",Malta,2012,2.52
access elsewhere,Malta,2012,1.38
equipment costs are too high,Malta,2012,3.01
"access not needed (content is not useful, interesting, etc.)",Malta,2012,11.54
other reasons,Malta,2012,1.58
privacy or security concerns,Malta,2012,0.21
lack of skills,Malta,2012,9.37
"access costs are too high (telephone, etc.)",Netherlands,2012,0.77
broadband is not available in the area,Netherlands,2012,0.12
access elsewhere,Netherlands,2012,0.61
equipment costs are too high,Netherlands,2012,1.02
"access not needed (content is not useful, interesting, etc.)",Netherlands,2012,4.84
other reasons,Netherlands,2012,0.73
privacy or security concerns,Netherlands,2012,0.44
lack of skills,Netherlands,2012,0.8
"access costs are too high (telephone, etc.)",Poland,2012,6.65
broadband is not available in the area,Poland,2012,0.67
access elsewhere,Poland,2012,1.41
equipment costs are too high,Poland,2012,7.75
"access not needed (content is not useful, interesting, etc.)",Poland,2012,16.68
other reasons,Poland,2012,3.5
privacy or security concerns,Poland,2012,0.64
lack of skills,Poland,2012,11.03
"access costs are too high (telephone, etc.)",Portugal,2012,14.42
broadband is not available in the area,Portugal,2012,0.96
access elsewhere,Portugal,2012,3.41
equipment costs are too high,Portugal,2012,16.02
"access not needed (content is not useful, interesting, etc.)",Portugal,2012,22.41
other reasons,Portugal,2012,1.92
privacy or security concerns,Portugal,2012,4.18
lack of skills,Portugal,2012,25.45
"access costs are too high (telephone, etc.)",Romania,2012,15.34
broadband is not available in the area,Romania,2012,0.67
access elsewhere,Romania,2012,4.07
equipment costs are too high,Romania,2012,18.28
"access not needed (content is not useful, interesting, etc.)",Romania,2012,15.1
other reasons,Romania,2012,4.26
privacy or security concerns,Romania,2012,0.5
lack of skills,Romania,2012,15.46
"access costs are too high (telephone, etc.)",Slovakia,2012,4.64
broadband is not available in the area,Slovakia,2012,0.09
access elsewhere,Slovakia,2012,5.16
equipment costs are too high,Slovakia,2012,5.55
"access not needed (content is not useful, interesting, etc.)",Slovakia,2012,13.43
other reasons,Slovakia,2012,1.08
privacy or security concerns,Slovakia,2012,0.95
lack of skills,Slovakia,2012,11.01
"access costs are too high (telephone, etc.)",Slovenia,2012,12.42
broadband is not available in the area,Slovenia,2012,2.14
access elsewhere,Slovenia,2012,3.79
equipment costs are too high,Slovenia,2012,13.89
"access not needed (content is not useful, interesting, etc.)",Slovenia,2012,18.16
other reasons,Slovenia,2012,0.54
privacy or security concerns,Slovenia,2012,7.21
lack of skills,Slovenia,2012,14.96
"access costs are too high (telephone, etc.)",Spain,2012,8.67
broadband is not available in the area,Spain,2012,0.56
access elsewhere,Spain,2012,4.8
equipment costs are too high,Spain,2012,8.66
"access not needed (content is not useful, interesting, etc.)",Spain,2012,22.18
other reasons,Spain,2012,0.48
privacy or security concerns,Spain,2012,0.78
lack of skills,Spain,2012,10.33
"access costs are too high (telephone, etc.)",Sweden,2012,1.58
broadband is not available in the area,Sweden,2012,1.66
access elsewhere,Sweden,2012,2.35
equipment costs are too high,Sweden,2012,1.63
"access not needed (content is not useful, interesting, etc.)",Sweden,2012,4.88
other reasons,Sweden,2012,1.92
privacy or security concerns,Sweden,2012,1.41
lack of skills,Sweden,2012,2.83
"access costs are too high (telephone, etc.)",United Kingdom,2012,2.36
broadband is not available in the area,United Kingdom,2012,0.03
access elsewhere,United Kingdom,2012,1.55
equipment costs are too high,United Kingdom,2012,1.83
"access not needed (content is not useful, interesting, etc.)",United Kingdom,2012,6.63
other reasons,United Kingdom,2012,1.48
privacy or security concerns,United Kingdom,2012,0.71
lack of skills,United Kingdom,2012,2.65
"access costs are too high (telephone, etc.)",Austria,2013,2.83
broadband is not available in the area,Austria,2013,0.27
access elsewhere,Austria,2013,3.14
equipment costs are too high,Austria,2013,2.71
"access not needed (content is not useful, interesting, etc.)",Austria,2013,13.88
other reasons,Austria,2013,0.98
privacy or security concerns,Austria,2013,1.45
lack of skills,Austria,2013,4.98
"access costs are too high (telephone, etc.)",Belgium,2013,3.8
broadband is not available in the area,Belgium,2013,0.05
access elsewhere,Belgium,2013,2.32
equipment costs are too high,Belgium,2013,4.83
"access not needed (content is not useful, interesting, etc.)",Belgium,2013,8.66
other reasons,Belgium,2013,3.59
privacy or security concerns,Belgium,2013,1.64
lack of skills,Belgium,2013,6.23
"access costs are too high (telephone, etc.)",Bulgaria,2013,9.24
broadband is not available in the area,Bulgaria,2013,0.64
access elsewhere,Bulgaria,2013,1.9
equipment costs are too high,Bulgaria,2013,16.02
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2013,16.87
other reasons,Bulgaria,2013,4.69
privacy or security concerns,Bulgaria,2013,0.56
lack of skills,Bulgaria,2013,23.42
"access costs are too high (telephone, etc.)",Croatia,2013,8.77
broadband is not available in the area,Croatia,2013,0.7
access elsewhere,Croatia,2013,2.66
equipment costs are too high,Croatia,2013,8.92
"access not needed (content is not useful, interesting, etc.)",Croatia,2013,20.24
other reasons,Croatia,2013,3.0
privacy or security concerns,Croatia,2013,1.16
lack of skills,Croatia,2013,6.69
"access costs are too high (telephone, etc.)",Cyprus,2013,13.87
broadband is not available in the area,Cyprus,2013,0.38
access elsewhere,Cyprus,2013,7.72
equipment costs are too high,Cyprus,2013,12.22
"access not needed (content is not useful, interesting, etc.)",Cyprus,2013,20.19
other reasons,Cyprus,2013,1.49
privacy or security concerns,Cyprus,2013,1.72
lack of skills,Cyprus,2013,22.87
"access costs are too high (telephone, etc.)",Denmark,2013,0.53
broadband is not available in the area,Denmark,2013,0.18
access elsewhere,Denmark,2013,0.63
equipment costs are too high,Denmark,2013,0.36
"access not needed (content is not useful, interesting, etc.)",Denmark,2013,3.44
other reasons,Denmark,2013,0.08
privacy or security concerns,Denmark,2013,0.02
lack of skills,Denmark,2013,1.47
"access costs are too high (telephone, etc.)",EU-27(from 2020),2013,5.9
broadband is not available in the area,EU-27(from 2020),2013,0.61
access elsewhere,EU-27(from 2020),2013,2.66
equipment costs are too high,EU-27(from 2020),2013,6.9
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2013,11.08
other reasons,EU-27(from 2020),2013,2.36
privacy or security concerns,EU-27(from 2020),2013,2.04
lack of skills,EU-27(from 2020),2013,8.27
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2013,5.28
broadband is not available in the area,EU-28(2013-2020),2013,0.53
access elsewhere,EU-28(2013-2020),2013,2.5
equipment costs are too high,EU-28(2013-2020),2013,6.03
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2013,9.85
other reasons,EU-28(2013-2020),2013,2.14
privacy or security concerns,EU-28(2013-2020),2013,1.81
lack of skills,EU-28(2013-2020),2013,7.36
"access costs are too high (telephone, etc.)",Estonia,2013,11.44
broadband is not available in the area,Estonia,2013,0.77
access elsewhere,Estonia,2013,3.36
equipment costs are too high,Estonia,2013,13.19
"access not needed (content is not useful, interesting, etc.)",Estonia,2013,11.67
other reasons,Estonia,2013,0.42
privacy or security concerns,Estonia,2013,2.14
lack of skills,Estonia,2013,15.09
"access costs are too high (telephone, etc.)",Finland,2013,2.57
broadband is not available in the area,Finland,2013,0.78
access elsewhere,Finland,2013,2.6
equipment costs are too high,Finland,2013,3.54
"access not needed (content is not useful, interesting, etc.)",Finland,2013,7.96
other reasons,Finland,2013,1.74
privacy or security concerns,Finland,2013,3.39
lack of skills,Finland,2013,5.65
"access costs are too high (telephone, etc.)",France,2013,6.0
broadband is not available in the area,France,2013,0.79
access elsewhere,France,2013,3.03
equipment costs are too high,France,2013,6.56
"access not needed (content is not useful, interesting, etc.)",France,2013,4.61
other reasons,France,2013,4.14
privacy or security concerns,France,2013,3.54
lack of skills,France,2013,6.35
"access costs are too high (telephone, etc.)",Germany,2013,3.44
broadband is not available in the area,Germany,2013,0.54
access elsewhere,Germany,2013,2.44
equipment costs are too high,Germany,2013,3.63
"access not needed (content is not useful, interesting, etc.)",Germany,2013,7.73
other reasons,Germany,2013,0.59
privacy or security concerns,Germany,2013,3.02
lack of skills,Germany,2013,4.71
"access costs are too high (telephone, etc.)",Greece,2013,6.41
broadband is not available in the area,Greece,2013,0.36
access elsewhere,Greece,2013,2.56
equipment costs are too high,Greece,2013,8.95
"access not needed (content is not useful, interesting, etc.)",Greece,2013,15.89
other reasons,Greece,2013,1.38
privacy or security concerns,Greece,2013,1.25
lack of skills,Greece,2013,21.18
"access costs are too high (telephone, etc.)",Hungary,2013,12.28
broadband is not available in the area,Hungary,2013,0.86
access elsewhere,Hungary,2013,5.43
equipment costs are too high,Hungary,2013,15.16
"access not needed (content is not useful, interesting, etc.)",Hungary,2013,19.29
other reasons,Hungary,2013,2.73
privacy or security concerns,Hungary,2013,3.05
lack of skills,Hungary,2013,14.06
"access costs are too high (telephone, etc.)",Ireland,2013,3.0
broadband is not available in the area,Ireland,2013,0.51
access elsewhere,Ireland,2013,2.0
equipment costs are too high,Ireland,2013,3.02
"access not needed (content is not useful, interesting, etc.)",Ireland,2013,6.82
other reasons,Ireland,2013,1.1
privacy or security concerns,Ireland,2013,0.52
lack of skills,Ireland,2013,6.71
"access costs are too high (telephone, etc.)",Latvia,2013,6.45
broadband is not available in the area,Latvia,2013,0.42
access elsewhere,Latvia,2013,6.41
equipment costs are too high,Latvia,2013,10.35
"access not needed (content is not useful, interesting, etc.)",Latvia,2013,13.54
other reasons,Latvia,2013,1.01
privacy or security concerns,Latvia,2013,0.24
lack of skills,Latvia,2013,9.8
"access costs are too high (telephone, etc.)",Lithuania,2013,7.02
broadband is not available in the area,Lithuania,2013,0.34
access elsewhere,Lithuania,2013,2.98
equipment costs are too high,Lithuania,2013,7.22
"access not needed (content is not useful, interesting, etc.)",Lithuania,2013,22.44
other reasons,Lithuania,2013,0.64
privacy or security concerns,Lithuania,2013,0.62
lack of skills,Lithuania,2013,6.21
"access costs are too high (telephone, etc.)",Luxembourg,2013,0.15
broadband is not available in the area,Luxembourg,2013,0.07
access elsewhere,Luxembourg,2013,0.39
equipment costs are too high,Luxembourg,2013,0.15
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2013,3.78
other reasons,Luxembourg,2013,0.99
privacy or security concerns,Luxembourg,2013,0.55
lack of skills,Luxembourg,2013,1.02
"access costs are too high (telephone, etc.)",Malta,2013,0.45
access elsewhere,Malta,2013,0.91
equipment costs are too high,Malta,2013,0.98
