DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2018,630153,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2019,631502,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2020,636442,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2021,640531,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2022,652920,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2023,673609,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2005,511408.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2006,501562.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2007,483805.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2008,463513.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2009,437999.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2010,409882.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2011,380036,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2012,358043,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2013,339905,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2014,316432,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2015,302865,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2016,297037,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2017,287017,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2018,279857,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2019,279195,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2020,274476,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2021,277947,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2022,289128,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Bulgaria,2023,301621,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2006,792221.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2007,749816.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2008,712411.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2009,664714.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2011,586677,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2012,546438,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2013,506371,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2014,482256,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2015,465604,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2016,457158,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2017,453289,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2018,453268,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belarus,2019,450185,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2005,433639.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2006,440815.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2007,447169.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2008,454620.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2009,455633.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2010,454904.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2011,451619,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2012,447894,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2013,442704,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2014,441234,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2015,438771,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2016,438711,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2017,436475,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2018,431439,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2019,425712,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2020,422280,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2021,420030,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2022,423256,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Switzerland,2023,428452,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2005,57504.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2006,58451.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2007,59351.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2008,61582.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2009,62567.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2010,63591.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2011,63633,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2012,62191,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2013,58570,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2014,54851,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2015,52901,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2016,51747,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2017,50442,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2018,49202,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2019,48856,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2020,49531,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2021,48183,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2022,47368,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Cyprus,2023,48937,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2005,649998.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2006,645959.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2007,644013.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2008,640184.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2009,632196.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2010,611895.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2011,578984,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2012,541105,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2013,510265,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2014,479874,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2015,463083,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2016,458003,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2017,458673,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2018,462200,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2019,467391,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2020,478030,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2021,486582,b,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2022,503305,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Czechia,2023,556689,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2005,4787864.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2006,4835789.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2007,4762364.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2008,4642964.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2009,4479630.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2010,4317072.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2011,4068782,b,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2012,4027946,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2013,4038105,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2014,4040497,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2015,4066788,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2016,4189964,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2017,4172869,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2018,4080567,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2019,4003477,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2020,3939243,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2021,3856774,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2022,3826980,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany,2023,3932096,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2005,4787864.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2006,4835789.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2007,4762364.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2008,4642964.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2009,4479630.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2010,4317072.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2011,4068782,b,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2012,4027946,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2013,4038105,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2014,4040497,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2015,4066788,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2016,4189964,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2017,4172869,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2018,4080567,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2019,4003477,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2020,3939243,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2021,3856774,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2022,3826980,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Germany including former GDR,2023,3932096,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Denmark,2005,304582.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Denmark,2006,314213.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Denmark,2007,322821.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Denmark,2008,334263.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Denmark,2009,342927.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Denmark,2010,350928.0,,
