time_period,geo,ind_type,indic_is,obs_value
2023,Albania,"Individuals, 25 to 64 years old",Individuals with basic or above basic overall digital skills,18.33
2023,Albania,"Individuals, 25 to 64 years old",Individuals with no overall digital skills,9.48
2023,Albania,"Individuals, 35 to 44 years old",Individuals with above basic overall digital skills,5.68
2023,Albania,"Individuals, 35 to 44 years old",Individuals with basic overall digital skills,16.27
2023,Albania,"Individuals, 35 to 44 years old",Individuals with low overall digital skills,21.95
2023,Albania,"Individuals, 35 to 44 years old",Individuals with basic or above basic overall digital skills,18.77
2023,Albania,"Individuals, 35 to 44 years old",Individuals with no overall digital skills,7.29
2023,Albania,"Individuals, 45 to 54 years old",Individuals with above basic overall digital skills,3.11
2023,Albania,"Individuals, 45 to 54 years old",Individuals with basic overall digital skills,10.92
2023,Albania,"Individuals, 45 to 54 years old",Individuals with low overall digital skills,14.03
2023,Albania,"Individuals, 45 to 54 years old",Individuals with basic or above basic overall digital skills,16.41
2023,Albania,"Individuals, 45 to 54 years old",Individuals with no overall digital skills,12.39
2023,Albania,"Individuals, 55 to 64 years old",Individuals with above basic overall digital skills,0.7
2023,Albania,"Individuals, 55 to 64 years old",Individuals with basic overall digital skills,4.94
2023,Albania,"Individuals, 55 to 64 years old",Individuals with low overall digital skills,5.64
2023,Albania,"Individuals, 55 to 64 years old",Individuals with basic or above basic overall digital skills,9.37
2023,Albania,"Individuals, 55 to 64 years old",Individuals with no overall digital skills,16.55
2023,Albania,"Individuals, 55 to 74 years old",Individuals with above basic overall digital skills,0.4
2023,Albania,"Individuals, 55 to 74 years old",Individuals with basic overall digital skills,3.15
2023,Albania,"Individuals, 55 to 74 years old",Individuals with low overall digital skills,3.56
2023,Albania,"Individuals, 55 to 74 years old",Individuals with basic or above basic overall digital skills,5.99
2023,Albania,"Individuals, 55 to 74 years old",Individuals with no overall digital skills,18.68
2023,Albania,"Individuals, 65 to 74 years old",Individuals with above basic overall digital skills,0.0
2023,Albania,"Individuals, 65 to 74 years old",Individuals with basic overall digital skills,0.74
2023,Albania,"Individuals, 65 to 74 years old",Individuals with low overall digital skills,0.74
2023,Albania,"Individuals, 65 to 74 years old",Individuals with basic or above basic overall digital skills,1.4
2023,Albania,"Individuals, 65 to 74 years old",Individuals with no overall digital skills,21.57
2023,Austria,All individuals,Individuals with above basic overall digital skills,32.04
2023,Austria,All individuals,Individuals with basic overall digital skills,32.64
2023,Austria,All individuals,Individuals with low overall digital skills,64.68
2023,Austria,All individuals,Individuals with basic or above basic overall digital skills,17.01
2023,Austria,All individuals,Individuals with no overall digital skills,2.03
2023,Austria,"Individuals, 16 to 19 years old",Individuals with above basic overall digital skills,46.31
2023,Austria,"Individuals, 16 to 19 years old",Individuals with basic overall digital skills,28.82
2023,Austria,"Individuals, 16 to 19 years old",Individuals with low overall digital skills,75.13
2023,Austria,"Individuals, 16 to 19 years old",Individuals with basic or above basic overall digital skills,20.24
2023,Austria,"Individuals, 16 to 19 years old",Individuals with no overall digital skills,0.0
2023,Austria,"Individuals, 16 to 24 years old",Individuals with above basic overall digital skills,41.69
2023,Austria,"Individuals, 16 to 24 years old",Individuals with basic overall digital skills,32.73
2023,Austria,"Individuals, 16 to 24 years old",Individuals with low overall digital skills,74.41
2023,Austria,"Individuals, 16 to 24 years old",Individuals with basic or above basic overall digital skills,14.65
2023,Austria,"Individuals, 16 to 24 years old",Individuals with no overall digital skills,0.59
2023,Austria,"Individuals, 16 to 29 years old",Individuals with above basic overall digital skills,39.83
2023,Austria,"Individuals, 16 to 29 years old",Individuals with basic overall digital skills,35.05
2023,Austria,"Individuals, 16 to 29 years old",Individuals with low overall digital skills,74.88
2023,Austria,"Individuals, 16 to 29 years old",Individuals with basic or above basic overall digital skills,15.08
2023,Austria,"Individuals, 16 to 29 years old",Individuals with no overall digital skills,0.47
2023,Austria,"Individuals, 20 to 24 years old",Individuals with above basic overall digital skills,38.69
2023,Austria,"Individuals, 20 to 24 years old",Individuals with basic overall digital skills,35.26
2023,Austria,"Individuals, 20 to 24 years old",Individuals with low overall digital skills,73.95
2023,Austria,"Individuals, 20 to 24 years old",Individuals with basic or above basic overall digital skills,11.04
2023,Austria,"Individuals, 20 to 24 years old",Individuals with no overall digital skills,0.97
2023,Austria,"Individuals, 25 to 29 years old",Individuals with above basic overall digital skills,37.18
2023,Austria,"Individuals, 25 to 29 years old",Individuals with basic overall digital skills,38.37
2023,Austria,"Individuals, 25 to 29 years old",Individuals with low overall digital skills,75.55
2023,Austria,"Individuals, 25 to 29 years old",Individuals with basic or above basic overall digital skills,15.7
2023,Austria,"Individuals, 25 to 29 years old",Individuals with no overall digital skills,0.29
2023,Austria,"Individuals, 25 to 34 years old",Individuals with above basic overall digital skills,40.06
2023,Austria,"Individuals, 25 to 34 years old",Individuals with basic overall digital skills,35.0
2023,Austria,"Individuals, 25 to 34 years old",Individuals with low overall digital skills,75.06
2023,Austria,"Individuals, 25 to 34 years old",Individuals with basic or above basic overall digital skills,16.38
2023,Austria,"Individuals, 25 to 34 years old",Individuals with no overall digital skills,0.18
2023,Austria,"Individuals, 25 to 54 years old",Individuals with above basic overall digital skills,38.0
2023,Austria,"Individuals, 25 to 54 years old",Individuals with basic overall digital skills,34.11
2023,Austria,"Individuals, 25 to 54 years old",Individuals with low overall digital skills,72.11
2023,Austria,"Individuals, 25 to 54 years old",Individuals with basic or above basic overall digital skills,17.32
2023,Austria,"Individuals, 25 to 54 years old",Individuals with no overall digital skills,1.05
2023,Austria,"Individuals, 25 to 64 years old",Individuals with above basic overall digital skills,34.23
2023,Austria,"Individuals, 25 to 64 years old",Individuals with basic overall digital skills,33.71
2023,Austria,"Individuals, 25 to 64 years old",Individuals with low overall digital skills,67.94
2023,Austria,"Individuals, 25 to 64 years old",Individuals with basic or above basic overall digital skills,17.41
2023,Austria,"Individuals, 25 to 64 years old",Individuals with no overall digital skills,1.64
2023,Austria,"Individuals, 35 to 44 years old",Individuals with above basic overall digital skills,42.09
2023,Austria,"Individuals, 35 to 44 years old",Individuals with basic overall digital skills,34.01
2023,Austria,"Individuals, 35 to 44 years old",Individuals with low overall digital skills,76.1
2023,Austria,"Individuals, 35 to 44 years old",Individuals with basic or above basic overall digital skills,14.63
2023,Austria,"Individuals, 35 to 44 years old",Individuals with no overall digital skills,1.66
2023,Austria,"Individuals, 45 to 54 years old",Individuals with above basic overall digital skills,31.96
2023,Austria,"Individuals, 45 to 54 years old",Individuals with basic overall digital skills,33.32
2023,Austria,"Individuals, 45 to 54 years old",Individuals with low overall digital skills,65.28
2023,Austria,"Individuals, 45 to 54 years old",Individuals with basic or above basic overall digital skills,20.89
2023,Austria,"Individuals, 45 to 54 years old",Individuals with no overall digital skills,1.29
2023,Austria,"Individuals, 55 to 64 years old",Individuals with above basic overall digital skills,23.84
2023,Austria,"Individuals, 55 to 64 years old",Individuals with basic overall digital skills,32.63
2023,Austria,"Individuals, 55 to 64 years old",Individuals with low overall digital skills,56.47
2023,Austria,"Individuals, 55 to 64 years old",Individuals with basic or above basic overall digital skills,17.65
2023,Austria,"Individuals, 55 to 64 years old",Individuals with no overall digital skills,3.25
2023,Austria,"Individuals, 55 to 74 years old",Individuals with above basic overall digital skills,18.68
2023,Austria,"Individuals, 55 to 74 years old",Individuals with basic overall digital skills,30.2
2023,Austria,"Individuals, 55 to 74 years old",Individuals with low overall digital skills,48.88
2023,Austria,"Individuals, 55 to 74 years old",Individuals with basic or above basic overall digital skills,17.37
2023,Austria,"Individuals, 55 to 74 years old",Individuals with no overall digital skills,4.18
2023,Austria,"Individuals, 65 to 74 years old",Individuals with above basic overall digital skills,11.06
2023,Austria,"Individuals, 65 to 74 years old",Individuals with basic overall digital skills,26.62
2023,Austria,"Individuals, 65 to 74 years old",Individuals with low overall digital skills,37.68
2023,Austria,"Individuals, 65 to 74 years old",Individuals with basic or above basic overall digital skills,16.95
2023,Austria,"Individuals, 65 to 74 years old",Individuals with no overall digital skills,5.55
2023,Austria,"Individuals, 75 years old or more",Individuals with above basic overall digital skills,7.02
2023,Austria,"Individuals, 75 years old or more",Individuals with basic overall digital skills,16.57
2023,Austria,"Individuals, 75 years old or more",Individuals with low overall digital skills,23.6
2023,Austria,"Individuals, 75 years old or more",Individuals with basic or above basic overall digital skills,9.42
2023,Austria,"Individuals, 75 years old or more",Individuals with no overall digital skills,7.3
2023,Belgium,All individuals,Individuals with above basic overall digital skills,28.26
2023,Belgium,All individuals,Individuals with basic overall digital skills,31.12
2023,Belgium,All individuals,Individuals with low overall digital skills,59.39
2023,Belgium,All individuals,Individuals with basic or above basic overall digital skills,18.46
2023,Belgium,All individuals,Individuals with no overall digital skills,2.12
2023,Belgium,"Individuals, 16 to 19 years old",Individuals with above basic overall digital skills,22.49
2023,Belgium,"Individuals, 16 to 19 years old",Individuals with basic overall digital skills,34.29
2023,Belgium,"Individuals, 16 to 19 years old",Individuals with low overall digital skills,56.78
2023,Belgium,"Individuals, 16 to 19 years old",Individuals with basic or above basic overall digital skills,27.25
2023,Belgium,"Individuals, 16 to 19 years old",Individuals with no overall digital skills,0.0
2023,Belgium,"Individuals, 16 to 24 years old",Individuals with above basic overall digital skills,32.99
2023,Belgium,"Individuals, 16 to 24 years old",Individuals with basic overall digital skills,35.0
2023,Belgium,"Individuals, 16 to 24 years old",Individuals with low overall digital skills,67.98
2023,Belgium,"Individuals, 16 to 24 years old",Individuals with basic or above basic overall digital skills,20.57
2023,Belgium,"Individuals, 16 to 24 years old",Individuals with no overall digital skills,0.32
2023,Belgium,"Individuals, 16 to 29 years old",Individuals with above basic overall digital skills,36.74
2023,Belgium,"Individuals, 16 to 29 years old",Individuals with basic overall digital skills,31.52
2023,Belgium,"Individuals, 16 to 29 years old",Individuals with low overall digital skills,68.26
2023,Belgium,"Individuals, 16 to 29 years old",Individuals with basic or above basic overall digital skills,19.44
2023,Belgium,"Individuals, 16 to 29 years old",Individuals with no overall digital skills,0.69
2023,Belgium,"Individuals, 20 to 24 years old",Individuals with above basic overall digital skills,40.28
2023,Belgium,"Individuals, 20 to 24 years old",Individuals with basic overall digital skills,35.49
2023,Belgium,"Individuals, 20 to 24 years old",Individuals with low overall digital skills,75.77
2023,Belgium,"Individuals, 20 to 24 years old",Individuals with basic or above basic overall digital skills,15.93
2023,Belgium,"Individuals, 20 to 24 years old",Individuals with no overall digital skills,0.54
2023,Belgium,"Individuals, 25 to 29 years old",Individuals with above basic overall digital skills,42.72
2023,Belgium,"Individuals, 25 to 29 years old",Individuals with basic overall digital skills,25.98
2023,Belgium,"Individuals, 25 to 29 years old",Individuals with low overall digital skills,68.7
2023,Belgium,"Individuals, 25 to 29 years old",Individuals with basic or above basic overall digital skills,17.65
2023,Belgium,"Individuals, 25 to 29 years old",Individuals with no overall digital skills,1.27
2023,Belgium,"Individuals, 25 to 34 years old",Individuals with above basic overall digital skills,42.93
2023,Belgium,"Individuals, 25 to 34 years old",Individuals with basic overall digital skills,29.42
2023,Belgium,"Individuals, 25 to 34 years old",Individuals with low overall digital skills,72.35
2023,Belgium,"Individuals, 25 to 34 years old",Individuals with basic or above basic overall digital skills,15.67
2023,Belgium,"Individuals, 25 to 34 years old",Individuals with no overall digital skills,1.27
2023,Belgium,"Individuals, 25 to 54 years old",Individuals with above basic overall digital skills,34.78
2023,Belgium,"Individuals, 25 to 54 years old",Individuals with basic overall digital skills,31.45
2023,Belgium,"Individuals, 25 to 54 years old",Individuals with low overall digital skills,66.23
2023,Belgium,"Individuals, 25 to 54 years old",Individuals with basic or above basic overall digital skills,18.12
2023,Belgium,"Individuals, 25 to 54 years old",Individuals with no overall digital skills,1.12
2023,Belgium,"Individuals, 25 to 64 years old",Individuals with above basic overall digital skills,30.48
2023,Belgium,"Individuals, 25 to 64 years old",Individuals with basic overall digital skills,31.3
2023,Belgium,"Individuals, 25 to 64 years old",Individuals with low overall digital skills,61.78
2023,Belgium,"Individuals, 25 to 64 years old",Individuals with basic or above basic overall digital skills,18.33
2023,Belgium,"Individuals, 25 to 64 years old",Individuals with no overall digital skills,1.76
2023,Belgium,"Individuals, 35 to 44 years old",Individuals with above basic overall digital skills,34.44
2023,Belgium,"Individuals, 35 to 44 years old",Individuals with basic overall digital skills,34.16
2023,Belgium,"Individuals, 35 to 44 years old",Individuals with low overall digital skills,68.6
2023,Belgium,"Individuals, 35 to 44 years old",Individuals with basic or above basic overall digital skills,18.24
2023,Belgium,"Individuals, 35 to 44 years old",Individuals with no overall digital skills,0.66
2023,Belgium,"Individuals, 45 to 54 years old",Individuals with above basic overall digital skills,27.24
2023,Belgium,"Individuals, 45 to 54 years old",Individuals with basic overall digital skills,30.73
2023,Belgium,"Individuals, 45 to 54 years old",Individuals with low overall digital skills,57.97
2023,Belgium,"Individuals, 45 to 54 years old",Individuals with basic or above basic overall digital skills,20.36
2023,Belgium,"Individuals, 45 to 54 years old",Individuals with no overall digital skills,1.44
2023,Belgium,"Individuals, 55 to 64 years old",Individuals with above basic overall digital skills,18.06
2023,Belgium,"Individuals, 55 to 64 years old",Individuals with basic overall digital skills,30.88
2023,Belgium,"Individuals, 55 to 64 years old",Individuals with low overall digital skills,48.94
2023,Belgium,"Individuals, 55 to 64 years old",Individuals with basic or above basic overall digital skills,18.94
2023,Belgium,"Individuals, 55 to 64 years old",Individuals with no overall digital skills,3.58
2023,Belgium,"Individuals, 55 to 74 years old",Individuals with above basic overall digital skills,15.67
2023,Belgium,"Individuals, 55 to 74 years old",Individuals with basic overall digital skills,28.93
2023,Belgium,"Individuals, 55 to 74 years old",Individuals with low overall digital skills,44.6
2023,Belgium,"Individuals, 55 to 74 years old",Individuals with basic or above basic overall digital skills,18.12
2023,Belgium,"Individuals, 55 to 74 years old",Individuals with no overall digital skills,4.5
2023,Belgium,"Individuals, 65 to 74 years old",Individuals with above basic overall digital skills,12.61
2023,Belgium,"Individuals, 65 to 74 years old",Individuals with basic overall digital skills,26.45
2023,Belgium,"Individuals, 65 to 74 years old",Individuals with low overall digital skills,39.06
2023,Belgium,"Individuals, 65 to 74 years old",Individuals with basic or above basic overall digital skills,17.06
2023,Belgium,"Individuals, 65 to 74 years old",Individuals with no overall digital skills,5.67
2023,Bosnia and Herzegovina,All individuals,Individuals with above basic overall digital skills,6.88
2023,Bosnia and Herzegovina,All individuals,Individuals with basic overall digital skills,23.2
2023,Bosnia and Herzegovina,All individuals,Individuals with low overall digital skills,30.08
2023,Bosnia and Herzegovina,All individuals,Individuals with basic or above basic overall digital skills,23.94
2023,Bosnia and Herzegovina,All individuals,Individuals with no overall digital skills,4.96
2023,Bosnia and Herzegovina,"Individuals, 16 to 19 years old",Individuals with above basic overall digital skills,24.33
2023,Bosnia and Herzegovina,"Individuals, 16 to 19 years old",Individuals with basic overall digital skills,42.64
2023,Bosnia and Herzegovina,"Individuals, 16 to 19 years old",Individuals with low overall digital skills,66.97
2023,Bosnia and Herzegovina,"Individuals, 16 to 19 years old",Individuals with basic or above basic overall digital skills,30.86
2023,Bosnia and Herzegovina,"Individuals, 16 to 19 years old",Individuals with no overall digital skills,0.0
2023,Bosnia and Herzegovina,"Individuals, 16 to 24 years old",Individuals with above basic overall digital skills,23.28
2023,Bosnia and Herzegovina,"Individuals, 16 to 24 years old",Individuals with basic overall digital skills,49.71
2023,Bosnia and Herzegovina,"Individuals, 16 to 24 years old",Individuals with low overall digital skills,72.99
2023,Bosnia and Herzegovina,"Individuals, 16 to 24 years old",Individuals with basic or above basic overall digital skills,22.84
2023,Bosnia and Herzegovina,"Individuals, 16 to 24 years old",Individuals with no overall digital skills,0.0
2023,Bosnia and Herzegovina,"Individuals, 16 to 29 years old",Individuals with above basic overall digital skills,21.49
2023,Bosnia and Herzegovina,"Individuals, 16 to 29 years old",Individuals with basic overall digital skills,48.15
2023,Bosnia and Herzegovina,"Individuals, 16 to 29 years old",Individuals with low overall digital skills,69.65
2023,Bosnia and Herzegovina,"Individuals, 16 to 29 years old",Individuals with basic or above basic overall digital skills,23.99
2023,Bosnia and Herzegovina,"Individuals, 16 to 29 years old",Individuals with no overall digital skills,0.01
2023,Bosnia and Herzegovina,"Individuals, 20 to 24 years old",Individuals with above basic overall digital skills,22.9
2023,Bosnia and Herzegovina,"Individuals, 20 to 24 years old",Individuals with basic overall digital skills,52.27
2023,Bosnia and Herzegovina,"Individuals, 20 to 24 years old",Individuals with low overall digital skills,75.17
2023,Bosnia and Herzegovina,"Individuals, 20 to 24 years old",Individuals with basic or above basic overall digital skills,19.94
2023,Bosnia and Herzegovina,"Individuals, 20 to 24 years old",Individuals with no overall digital skills,0.0
2023,Bosnia and Herzegovina,"Individuals, 25 to 29 years old",Individuals with above basic overall digital skills,19.09
2023,Bosnia and Herzegovina,"Individuals, 25 to 29 years old",Individuals with basic overall digital skills,46.07
2023,Bosnia and Herzegovina,"Individuals, 25 to 29 years old",Individuals with low overall digital skills,65.16
2023,Bosnia and Herzegovina,"Individuals, 25 to 29 years old",Individuals with basic or above basic overall digital skills,25.53
2023,Bosnia and Herzegovina,"Individuals, 25 to 29 years old",Individuals with no overall digital skills,0.03
2023,Bosnia and Herzegovina,"Individuals, 25 to 34 years old",Individuals with above basic overall digital skills,18.39
2023,Bosnia and Herzegovina,"Individuals, 25 to 34 years old",Individuals with basic overall digital skills,45.68
2023,Bosnia and Herzegovina,"Individuals, 25 to 34 years old",Individuals with low overall digital skills,64.07
2023,Bosnia and Herzegovina,"Individuals, 25 to 34 years old",Individuals with basic or above basic overall digital skills,25.75
2023,Bosnia and Herzegovina,"Individuals, 25 to 34 years old",Individuals with no overall digital skills,0.58
2023,Bosnia and Herzegovina,"Individuals, 25 to 54 years old",Individuals with above basic overall digital skills,10.9
2023,Bosnia and Herzegovina,"Individuals, 25 to 54 years old",Individuals with basic overall digital skills,37.7
2023,Bosnia and Herzegovina,"Individuals, 25 to 54 years old",Individuals with low overall digital skills,48.59
2023,Bosnia and Herzegovina,"Individuals, 25 to 54 years old",Individuals with basic or above basic overall digital skills,30.82
2023,Bosnia and Herzegovina,"Individuals, 25 to 54 years old",Individuals with no overall digital skills,1.07
2023,Bosnia and Herzegovina,"Individuals, 25 to 64 years old",Individuals with above basic overall digital skills,7.52
2023,Bosnia and Herzegovina,"Individuals, 25 to 64 years old",Individuals with basic overall digital skills,27.36
2023,Bosnia and Herzegovina,"Individuals, 25 to 64 years old",Individuals with low overall digital skills,34.88
2023,Bosnia and Herzegovina,"Individuals, 25 to 64 years old",Individuals with basic or above basic overall digital skills,29.02
2023,Bosnia and Herzegovina,"Individuals, 25 to 64 years old",Individuals with no overall digital skills,3.19
2023,Bosnia and Herzegovina,"Individuals, 35 to 44 years old",Individuals with above basic overall digital skills,12.93
2023,Bosnia and Herzegovina,"Individuals, 35 to 44 years old",Individuals with basic overall digital skills,41.64
2023,Bosnia and Herzegovina,"Individuals, 35 to 44 years old",Individuals with low overall digital skills,54.57
2023,Bosnia and Herzegovina,"Individuals, 35 to 44 years old",Individuals with basic or above basic overall digital skills,29.69
2023,Bosnia and Herzegovina,"Individuals, 35 to 44 years old",Individuals with no overall digital skills,0.69
2023,Bosnia and Herzegovina,"Individuals, 45 to 54 years old",Individuals with above basic overall digital skills,5.5
2023,Bosnia and Herzegovina,"Individuals, 45 to 54 years old",Individuals with basic overall digital skills,30.6
2023,Bosnia and Herzegovina,"Individuals, 45 to 54 years old",Individuals with low overall digital skills,36.1
2023,Bosnia and Herzegovina,"Individuals, 45 to 54 years old",Individuals with basic or above basic overall digital skills,34.29
2023,Bosnia and Herzegovina,"Individuals, 45 to 54 years old",Individuals with no overall digital skills,1.6
2023,Bosnia and Herzegovina,"Individuals, 55 to 64 years old",Individuals with above basic overall digital skills,0.89
2023,Bosnia and Herzegovina,"Individuals, 55 to 64 years old",Individuals with basic overall digital skills,7.06
2023,Bosnia and Herzegovina,"Individuals, 55 to 64 years old",Individuals with low overall digital skills,7.96
2023,Bosnia and Herzegovina,"Individuals, 55 to 64 years old",Individuals with basic or above basic overall digital skills,25.47
2023,Bosnia and Herzegovina,"Individuals, 55 to 64 years old",Individuals with no overall digital skills,7.37
2023,Bosnia and Herzegovina,"Individuals, 55 to 74 years old",Individuals with above basic overall digital skills,0.47
2023,Bosnia and Herzegovina,"Individuals, 55 to 74 years old",Individuals with basic overall digital skills,5.0
2023,Bosnia and Herzegovina,"Individuals, 55 to 74 years old",Individuals with low overall digital skills,5.46
2023,Bosnia and Herzegovina,"Individuals, 55 to 74 years old",Individuals with basic or above basic overall digital skills,17.37
2023,Bosnia and Herzegovina,"Individuals, 55 to 74 years old",Individuals with no overall digital skills,9.52
2023,Bosnia and Herzegovina,"Individuals, 65 to 74 years old",Individuals with above basic overall digital skills,0.05
2023,Bosnia and Herzegovina,"Individuals, 65 to 74 years old",Individuals with basic overall digital skills,2.94
2023,Bosnia and Herzegovina,"Individuals, 65 to 74 years old",Individuals with low overall digital skills,2.98
2023,Bosnia and Herzegovina,"Individuals, 65 to 74 years old",Individuals with basic or above basic overall digital skills,9.31
2023,Bosnia and Herzegovina,"Individuals, 65 to 74 years old",Individuals with no overall digital skills,11.65
2023,Bulgaria,All individuals,Individuals with above basic overall digital skills,7.73
2023,Bulgaria,All individuals,Individuals with basic overall digital skills,27.79
2023,Bulgaria,All individuals,Individuals with low overall digital skills,35.52
2023,Bulgaria,All individuals,Individuals with basic or above basic overall digital skills,15.59
2023,Bulgaria,All individuals,Individuals with no overall digital skills,5.88
2023,Bulgaria,"Individuals, 16 to 19 years old",Individuals with above basic overall digital skills,10.1
2023,Bulgaria,"Individuals, 16 to 19 years old",Individuals with basic overall digital skills,42.04
2023,Bulgaria,"Individuals, 16 to 19 years old",Individuals with low overall digital skills,52.14
2023,Bulgaria,"Individuals, 16 to 19 years old",Individuals with basic or above basic overall digital skills,16.99
2023,Bulgaria,"Individuals, 16 to 19 years old",Individuals with no overall digital skills,4.61
2023,Bulgaria,"Individuals, 16 to 24 years old",Individuals with above basic overall digital skills,12.3
2023,Bulgaria,"Individuals, 16 to 24 years old",Individuals with basic overall digital skills,40.85
2023,Bulgaria,"Individuals, 16 to 24 years old",Individuals with low overall digital skills,53.15
2023,Bulgaria,"Individuals, 16 to 24 years old",Individuals with basic or above basic overall digital skills,19.91
2023,Bulgaria,"Individuals, 16 to 24 years old",Individuals with no overall digital skills,3.91
2023,Bulgaria,"Individuals, 16 to 29 years old",Individuals with above basic overall digital skills,12.95
2023,Bulgaria,"Individuals, 16 to 29 years old",Individuals with basic overall digital skills,39.34
2023,Bulgaria,"Individuals, 16 to 29 years old",Individuals with low overall digital skills,52.3
2023,Bulgaria,"Individuals, 16 to 29 years old",Individuals with basic or above basic overall digital skills,18.98
2023,Bulgaria,"Individuals, 16 to 29 years old",Individuals with no overall digital skills,5.25
2023,Bulgaria,"Individuals, 20 to 24 years old",Individuals with above basic overall digital skills,14.08
2023,Bulgaria,"Individuals, 20 to 24 years old",Individuals with basic overall digital skills,39.89
2023,Bulgaria,"Individuals, 20 to 24 years old",Individuals with low overall digital skills,53.97
2023,Bulgaria,"Individuals, 20 to 24 years old",Individuals with basic or above basic overall digital skills,22.26
2023,Bulgaria,"Individuals, 20 to 24 years old",Individuals with no overall digital skills,3.35
2023,Bulgaria,"Individuals, 25 to 29 years old",Individuals with above basic overall digital skills,14.13
2023,Bulgaria,"Individuals, 25 to 29 years old",Individuals with basic overall digital skills,36.62
2023,Bulgaria,"Individuals, 25 to 29 years old",Individuals with low overall digital skills,50.75
2023,Bulgaria,"Individuals, 25 to 29 years old",Individuals with basic or above basic overall digital skills,17.29
2023,Bulgaria,"Individuals, 25 to 29 years old",Individuals with no overall digital skills,7.67
2023,Bulgaria,"Individuals, 25 to 34 years old",Individuals with above basic overall digital skills,13.32
2023,Bulgaria,"Individuals, 25 to 34 years old",Individuals with basic overall digital skills,35.86
2023,Bulgaria,"Individuals, 25 to 34 years old",Individuals with low overall digital skills,49.19
2023,Bulgaria,"Individuals, 25 to 34 years old",Individuals with basic or above basic overall digital skills,18.59
2023,Bulgaria,"Individuals, 25 to 34 years old",Individuals with no overall digital skills,6.24
2023,Bulgaria,"Individuals, 25 to 54 years old",Individuals with above basic overall digital skills,11.05
2023,Bulgaria,"Individuals, 25 to 54 years old",Individuals with basic overall digital skills,35.05
