time_period,geo,age,obs_value
2015,Belgium,From 15 to 34 years,70.6
2015,Belgium,From 35 to 74 years,29.4
2015,Denmark,From 15 to 34 years,50.8
2015,Denmark,From 35 to 74 years,49.2
2015,Finland,From 15 to 34 years,47.6
2015,Finland,From 35 to 74 years,52.4
2015,France,From 15 to 34 years,71.3
2015,France,From 35 to 74 years,28.7
2015,Germany,From 15 to 34 years,63.2
2015,Germany,From 35 to 74 years,36.8
2015,Greece,From 15 to 34 years,80.5
2015,Greece,From 35 to 74 years,19.5
2015,Hungary,From 15 to 34 years,68.9
2015,Hungary,From 35 to 74 years,31.1
2015,Ireland,From 15 to 34 years,53.8
2015,Ireland,From 35 to 74 years,46.2
2015,Italy,From 15 to 34 years,74.6
2015,Italy,From 35 to 74 years,25.4
2015,Latvia,From 15 to 34 years,63.6
2015,Latvia,From 35 to 74 years,36.4
2015,Malta,From 15 to 34 years,83.9
2015,Malta,From 35 to 74 years,16.1
2015,Netherlands,From 15 to 34 years,61.3
2015,Netherlands,From 35 to 74 years,38.7
2015,Poland,From 15 to 34 years,73.2
2015,Poland,From 35 to 74 years,26.8
2015,Portugal,From 15 to 34 years,78.6
2015,Portugal,From 35 to 74 years,21.4
2015,Romania,From 15 to 34 years,81.3
2015,Romania,From 35 to 74 years,18.7
2015,Slovakia,From 15 to 34 years,77.1
2015,Slovakia,From 35 to 74 years,22.9
2015,Spain,From 15 to 34 years,65.1
2015,Spain,From 35 to 74 years,34.9
2015,Sweden,From 15 to 34 years,50.6
2015,Sweden,From 35 to 74 years,49.4
2015,United Kingdom,From 15 to 34 years,71.5
2015,United Kingdom,From 35 to 74 years,28.5
2013,Austria,From 15 to 34 years,65.0
2013,Austria,From 35 to 74 years,35.0
2013,Belgium,From 15 to 34 years,77.1
2013,Belgium,From 35 to 74 years,22.9
2013,Cyprus,From 15 to 34 years,74.7
2013,Cyprus,From 35 to 74 years,25.3
2013,Denmark,From 15 to 34 years,55.1
2013,Denmark,From 35 to 74 years,44.9
2013,Finland,From 15 to 34 years,51.5
2013,Finland,From 35 to 74 years,48.5
2013,Germany,From 15 to 34 years,67.9
2013,Germany,From 35 to 74 years,32.1
2013,Greece,From 15 to 34 years,80.7
2013,Greece,From 35 to 74 years,19.3
2013,Hungary,From 15 to 34 years,76.1
2013,Hungary,From 35 to 74 years,23.9
2013,Ireland,From 15 to 34 years,55.6
2013,Ireland,From 35 to 74 years,44.4
2013,Italy,From 15 to 34 years,70.1
2013,Italy,From 35 to 74 years,29.9
2013,Luxembourg,From 15 to 34 years,60.8
2013,Luxembourg,From 35 to 74 years,39.2
2013,Poland,From 15 to 34 years,78.3
2013,Poland,From 35 to 74 years,21.7
2013,Portugal,From 15 to 34 years,77.1
2013,Portugal,From 35 to 74 years,22.9
2013,Spain,From 15 to 34 years,69.6
2013,Spain,From 35 to 74 years,30.4
2013,Sweden,From 15 to 34 years,52.1
2013,Sweden,From 35 to 74 years,47.9
2013,United Kingdom,From 15 to 34 years,70.4
2013,United Kingdom,From 35 to 74 years,29.6
2012,Belgium,From 15 to 34 years,78.1
2012,Belgium,From 35 to 74 years,21.9
2012,Denmark,From 15 to 34 years,54.1
2012,Denmark,From 35 to 74 years,45.9
2012,Finland,From 15 to 34 years,57.7
2012,Finland,From 35 to 74 years,42.3
2012,France,From 15 to 34 years,67.6
2012,France,From 35 to 74 years,32.4
2012,Greece,From 15 to 34 years,80.6
2012,Greece,From 35 to 74 years,19.4
2012,Hungary,From 15 to 34 years,82.3
2012,Hungary,From 35 to 74 years,17.7
2012,Ireland,From 15 to 34 years,58.6
2012,Ireland,From 35 to 74 years,41.4
2012,Italy,From 15 to 34 years,73.1
2012,Italy,From 35 to 74 years,26.9
2012,Luxembourg,From 15 to 34 years,61.6
2012,Luxembourg,From 35 to 74 years,38.4
2012,Netherlands,From 15 to 34 years,72.4
2012,Netherlands,From 35 to 74 years,27.6
2012,Poland,From 15 to 34 years,79.9
2012,Poland,From 35 to 74 years,20.1
2012,Portugal,From 15 to 34 years,82.7
2012,Portugal,From 35 to 74 years,17.3
2012,Spain,From 15 to 34 years,70.3
2012,Spain,From 35 to 74 years,29.7
2012,Sweden,From 15 to 34 years,51.5
2012,Sweden,From 35 to 74 years,48.5
2012,United Kingdom,From 15 to 34 years,71.8
2012,United Kingdom,From 35 to 74 years,28.2
2011,Denmark,From 15 to 34 years,50.6
2011,Denmark,From 35 to 74 years,49.4
2011,Finland,From 15 to 34 years,53.1
2011,Finland,From 35 to 74 years,46.9
2011,France,From 15 to 34 years,72.1
2011,France,From 35 to 74 years,27.9
2011,Greece,From 15 to 34 years,82.6
2011,Greece,From 35 to 74 years,17.4
2011,Hungary,From 15 to 34 years,79.5
2011,Hungary,From 35 to 74 years,20.5
2011,Ireland,From 15 to 34 years,62.8
2011,Ireland,From 35 to 74 years,37.2
2011,Italy,From 15 to 34 years,74.6
2011,Italy,From 35 to 74 years,25.4
2011,Netherlands,From 15 to 34 years,68.0
2011,Netherlands,From 35 to 74 years,32.0
2011,Poland,From 15 to 34 years,80.7
2011,Poland,From 35 to 74 years,19.3
2011,Spain,From 15 to 34 years,71.4
2011,Spain,From 35 to 74 years,28.6
2011,Sweden,From 15 to 34 years,54.1
2011,Sweden,From 35 to 74 years,45.9
2010,Austria,From 15 to 34 years,61.8
2010,Austria,From 35 to 74 years,38.2
2010,Belgium,From 15 to 34 years,74.2
2010,Belgium,From 35 to 74 years,25.8
2010,Denmark,From 15 to 34 years,53.7
2010,Denmark,From 35 to 74 years,46.3
2010,Finland,From 15 to 34 years,55.6
2010,Finland,From 35 to 74 years,44.4
2010,France,From 15 to 34 years,71.8
2010,France,From 35 to 74 years,28.2
2010,Greece,From 15 to 34 years,83.0
2010,Greece,From 35 to 74 years,17.0
2010,Hungary,From 15 to 34 years,76.6
2010,Hungary,From 35 to 74 years,23.4
2010,Ireland,From 15 to 34 years,66.1
2010,Ireland,From 35 to 74 years,33.9
2010,Italy,From 15 to 34 years,79.0
2010,Italy,From 35 to 74 years,21.0
2010,Luxembourg,From 15 to 34 years,66.5
2010,Luxembourg,From 35 to 74 years,33.5
2010,Netherlands,From 15 to 34 years,64.7
2010,Netherlands,From 35 to 74 years,35.3
2010,Portugal,From 15 to 34 years,87.9
2010,Portugal,From 35 to 74 years,12.1
2010,Spain,From 15 to 34 years,80.6
2010,Spain,From 35 to 74 years,19.4
2010,Sweden,From 15 to 34 years,54.8
2010,Sweden,From 35 to 74 years,45.2
2008,Austria,From 15 to 34 years,63.0
2008,Austria,From 35 to 74 years,37.0
2008,France,From 15 to 34 years,71.0
2008,France,From 35 to 74 years,29.0
2008,Germany,From 15 to 34 years,69.9
2008,Germany,From 35 to 74 years,30.1
2008,Greece,From 15 to 34 years,89.3
2008,Greece,From 35 to 74 years,10.7
2008,Hungary,From 15 to 34 years,87.1
2008,Hungary,From 35 to 74 years,12.9
2008,Ireland,From 15 to 34 years,71.3
2008,Ireland,From 35 to 74 years,28.7
2008,Italy,From 15 to 34 years,75.8
2008,Italy,From 35 to 74 years,24.2
2008,Netherlands,From 15 to 34 years,71.0
2008,Netherlands,From 35 to 74 years,29.0
2008,Poland,From 15 to 34 years,86.7
2008,Poland,From 35 to 74 years,13.3
2008,Portugal,From 15 to 34 years,82.3
2008,Portugal,From 35 to 74 years,17.7
2008,Romania,From 15 to 34 years,82.0
2008,Romania,From 35 to 74 years,18.0
2008,Spain,From 15 to 34 years,74.8
2008,Spain,From 35 to 74 years,25.2
2008,Sweden,From 15 to 34 years,56.3
2008,Sweden,From 35 to 74 years,43.7
2007,Belgium,From 15 to 34 years,77.4
2007,Belgium,From 35 to 74 years,22.6
2007,France,From 15 to 34 years,73.2
2007,France,From 35 to 74 years,26.8
2007,Germany,From 15 to 34 years,61.4
2007,Germany,From 35 to 74 years,38.6
2007,Greece,From 15 to 34 years,85.5
2007,Greece,From 35 to 74 years,14.5
2007,Hungary,From 15 to 34 years,82.7
2007,Hungary,From 35 to 74 years,17.3
2007,Italy,From 15 to 34 years,76.8
2007,Italy,From 35 to 74 years,23.2
2007,Netherlands,From 15 to 34 years,62.5
2007,Netherlands,From 35 to 74 years,37.5
2007,Poland,From 15 to 34 years,85.8
2007,Poland,From 35 to 74 years,14.2
2007,Portugal,From 15 to 34 years,86.3
2007,Portugal,From 35 to 74 years,13.7
2007,Romania,From 15 to 34 years,84.1
2007,Romania,From 35 to 74 years,15.9
2007,Spain,From 15 to 34 years,79.6
2007,Spain,From 35 to 74 years,20.4
2007,Sweden,From 15 to 34 years,56.4
2007,Sweden,From 35 to 74 years,43.6
2006,Belgium,From 15 to 34 years,73.0
2006,Belgium,From 35 to 74 years,27.0
2006,Denmark,From 15 to 34 years,61.1
2006,Denmark,From 35 to 74 years,38.9
2006,Finland,From 15 to 34 years,50.2
2006,Finland,From 35 to 74 years,49.8
2006,Greece,From 15 to 34 years,88.1
2006,Greece,From 35 to 74 years,11.9
2006,Hungary,From 15 to 34 years,85.3
2006,Hungary,From 35 to 74 years,14.7
2006,Italy,From 15 to 34 years,77.2
2006,Italy,From 35 to 74 years,22.8
2006,Poland,From 15 to 34 years,85.8
2006,Poland,From 35 to 74 years,14.2
2006,Portugal,From 15 to 34 years,84.1
2006,Portugal,From 35 to 74 years,15.9
2006,Romania,From 15 to 34 years,85.7
2006,Romania,From 35 to 74 years,14.3
2006,United Kingdom,From 15 to 34 years,66.1
2006,United Kingdom,From 35 to 74 years,33.9
