Entity,Code,Year,Population (historical)
Belgium,BEL,1946,8489101
Belgium,BEL,1947,8518479
Belgium,BEL,1948,8547959
Belgium,BEL,1949,8580904
Belgium,BEL,1950,8617441
Belgium,BEL,1951,8655757
Belgium,BEL,1952,8696641
Belgium,BEL,1953,8741858
Belgium,BEL,1954,8788384
Belgium,BEL,1955,8835490
Belgium,BEL,1956,8882162
Belgium,BEL,1957,8931863
Belgium,BEL,1958,8986122
Belgium,BEL,1959,9045746
Belgium,BEL,1960,9102170
Belgium,BEL,1961,9158207
Belgium,BEL,1962,9217669
Belgium,BEL,1963,9275198
Belgium,BEL,1964,9337682
Belgium,BEL,1965,9399852
Belgium,BEL,1966,9455001
Belgium,BEL,1967,9505921
Belgium,BEL,1968,9549700
Belgium,BEL,1969,9589187
Belgium,BEL,1970,9630508
Belgium,BEL,1971,9666524
Belgium,BEL,1972,9694851
Belgium,BEL,1973,9718032
Belgium,BEL,1974,9735810
Belgium,BEL,1975,9748475
Belgium,BEL,1976,9758905
Belgium,BEL,1977,9774018
Belgium,BEL,1978,9791813
Belgium,BEL,1979,9811367
Belgium,BEL,1980,9833093
Belgium,BEL,1981,9850674
Belgium,BEL,1982,9862330
Belgium,BEL,1983,9869136
Belgium,BEL,1984,9874586
Belgium,BEL,1985,9880337
Belgium,BEL,1986,9886981
Belgium,BEL,1987,9899150
Belgium,BEL,1988,9916567
Belgium,BEL,1989,9936574
Belgium,BEL,1990,9960969
Belgium,BEL,1991,9998961
Belgium,BEL,1992,10045987
Belgium,BEL,1993,10084932
Belgium,BEL,1994,10116005
Belgium,BEL,1995,10137264
Belgium,BEL,1996,10156973
Belgium,BEL,1997,10181465
Belgium,BEL,1998,10203186
Belgium,BEL,1999,10226681
Belgium,BEL,2000,10251719
Belgium,BEL,2001,10287004
Belgium,BEL,2002,10332978
Belgium,BEL,2003,10376260
Belgium,BEL,2004,10421298
Belgium,BEL,2005,10478883
Belgium,BEL,2006,10548446
Belgium,BEL,2007,10625490
Belgium,BEL,2008,10709710
Belgium,BEL,2009,10812936
Belgium,BEL,2010,10936620
Belgium,BEL,2011,11038627
Belgium,BEL,2012,11107524
Belgium,BEL,2013,11160277
Belgium,BEL,2014,11210111
Belgium,BEL,2015,11275332
Belgium,BEL,2016,11332704
Belgium,BEL,2017,11376583
Belgium,BEL,2018,11428609
Belgium,BEL,2019,11490622
Belgium,BEL,2020,11540103
Belgium,BEL,2021,11570842
Belgium,BEL,2022,11641813
Belgium,BEL,2023,11712894
Bulgaria,BGR,1942,6693150
Bulgaria,BGR,1943,6749643
Bulgaria,BGR,1944,6806614
Bulgaria,BGR,1945,6864065
Bulgaria,BGR,1946,6922000
Bulgaria,BGR,1947,6980425
Bulgaria,BGR,1948,7039343
Bulgaria,BGR,1949,7098413
Bulgaria,BGR,1950,7248511
Bulgaria,BGR,1951,7314427
Bulgaria,BGR,1952,7361957
Bulgaria,BGR,1953,7415922
Bulgaria,BGR,1954,7476267
Bulgaria,BGR,1955,7533656
Bulgaria,BGR,1956,7587160
Bulgaria,BGR,1957,7649545
Bulgaria,BGR,1958,7724890
Bulgaria,BGR,1959,7794174
Bulgaria,BGR,1960,7862933
Bulgaria,BGR,1961,7938309
Bulgaria,BGR,1962,8008324
Bulgaria,BGR,1963,8073731
Bulgaria,BGR,1964,8140078
Bulgaria,BGR,1965,8202417
Bulgaria,BGR,1966,8258788
Bulgaria,BGR,1967,8311127
Bulgaria,BGR,1968,8370642
Bulgaria,BGR,1969,8435276
Bulgaria,BGR,1970,8490822
Bulgaria,BGR,1971,8538899
Bulgaria,BGR,1972,8579911
Bulgaria,BGR,1973,8624801
Bulgaria,BGR,1974,8682749
Bulgaria,BGR,1975,8723148
Bulgaria,BGR,1976,8759432
Bulgaria,BGR,1977,8804691
Bulgaria,BGR,1978,8813739
Bulgaria,BGR,1979,8824994
Bulgaria,BGR,1980,8859538
Bulgaria,BGR,1981,8887801
Bulgaria,BGR,1982,8912738
Bulgaria,BGR,1983,8933328
Bulgaria,BGR,1984,8952608
Bulgaria,BGR,1985,8958852
Bulgaria,BGR,1986,8963472
Bulgaria,BGR,1987,8976205
Bulgaria,BGR,1988,8985725
Bulgaria,BGR,1989,8936388
Bulgaria,BGR,1990,8822365
Bulgaria,BGR,1991,8695799
Bulgaria,BGR,1992,8559091
Bulgaria,BGR,1993,8466532
Bulgaria,BGR,1994,8416925
Bulgaria,BGR,1995,8357576
Bulgaria,BGR,1996,8291403
Bulgaria,BGR,1997,8217101
Bulgaria,BGR,1998,8138192
Bulgaria,BGR,1999,8067463
Bulgaria,BGR,2000,8000519
Bulgaria,BGR,2001,7928456
Bulgaria,BGR,2002,7861949
Bulgaria,BGR,2003,7804406
Bulgaria,BGR,2004,7749431
Bulgaria,BGR,2005,7695047
Bulgaria,BGR,2006,7640290
Bulgaria,BGR,2007,7586895
Bulgaria,BGR,2008,7535590
Bulgaria,BGR,2009,7488018
Bulgaria,BGR,2010,7437594
Bulgaria,BGR,2011,7380021
Bulgaria,BGR,2012,7317021
Bulgaria,BGR,2013,7264606
Bulgaria,BGR,2014,7223451
Bulgaria,BGR,2015,7177516
Bulgaria,BGR,2016,7127436
Bulgaria,BGR,2017,7075639
Bulgaria,BGR,2018,7024746
Bulgaria,BGR,2019,6975467
Bulgaria,BGR,2020,6933654
Bulgaria,BGR,2021,6877222
Bulgaria,BGR,2022,6825863
Bulgaria,BGR,2023,6795804
Croatia,HRV,1942,3611114
Croatia,HRV,1943,3642905
Croatia,HRV,1944,3674976
Croatia,HRV,1945,3707329
Croatia,HRV,1946,3739968
Croatia,HRV,1947,3772893
Croatia,HRV,1948,3806109
Croatia,HRV,1949,3836721
Croatia,HRV,1950,3864993
Croatia,HRV,1951,3911671
Croatia,HRV,1952,3957411
Croatia,HRV,1953,4006128
Croatia,HRV,1954,4048122
Croatia,HRV,1955,4080737
Croatia,HRV,1956,4110129
Croatia,HRV,1957,4136706
Croatia,HRV,1958,4160698
Croatia,HRV,1959,4182085
Croatia,HRV,1960,4200270
Croatia,HRV,1961,4223430
Croatia,HRV,1962,4255018
Croatia,HRV,1963,4287270
Croatia,HRV,1964,4317758
Croatia,HRV,1965,4346709
Croatia,HRV,1966,4374306
Croatia,HRV,1967,4400269
Croatia,HRV,1968,4423830
Croatia,HRV,1969,4444450
Croatia,HRV,1970,4462674
Croatia,HRV,1971,4480164
Croatia,HRV,1972,4497888
Croatia,HRV,1973,4515758
Croatia,HRV,1974,4533947
Croatia,HRV,1975,4552728
Croatia,HRV,1976,4571752
Croatia,HRV,1977,4590624
Croatia,HRV,1978,4609024
Croatia,HRV,1979,4626954
Croatia,HRV,1980,4643902
Croatia,HRV,1981,4664260
Croatia,HRV,1982,4689152
Croatia,HRV,1983,4712881
Croatia,HRV,1984,4734488
Croatia,HRV,1985,4754551
Croatia,HRV,1986,4773057
Croatia,HRV,1987,4790207
Croatia,HRV,1988,4806030
Croatia,HRV,1989,4820726
Croatia,HRV,1990,4835068
Croatia,HRV,1991,4825159
Croatia,HRV,1992,4782238
Croatia,HRV,1993,4729737
Croatia,HRV,1994,4675515
Croatia,HRV,1995,4619361
Croatia,HRV,1996,4562291
Croatia,HRV,1997,4504629
Croatia,HRV,1998,4445669
Croatia,HRV,1999,4385822
Croatia,HRV,2000,4326105
Croatia,HRV,2001,4301078
Croatia,HRV,2002,4305783
Croatia,HRV,2003,4306682
Croatia,HRV,2004,4310054
Croatia,HRV,2005,4313946
Croatia,HRV,2006,4315802
Croatia,HRV,2007,4315957
Croatia,HRV,2008,4314634
Croatia,HRV,2009,4310537
Croatia,HRV,2010,4301152
Croatia,HRV,2011,4280827
Croatia,HRV,2012,4259234
Croatia,HRV,2013,4242404
Croatia,HRV,2014,4219485
Croatia,HRV,2015,4183732
Croatia,HRV,2016,4136438
Croatia,HRV,2017,4079198
Croatia,HRV,2018,4024868
Croatia,HRV,2019,3986338
Croatia,HRV,2020,3953957
Croatia,HRV,2021,3924607
Croatia,HRV,2022,3907031
Croatia,HRV,2023,3896024
Cyprus,CYP,1942,456894
Cyprus,CYP,1943,461176
Cyprus,CYP,1944,465498
Cyprus,CYP,1945,469861
Cyprus,CYP,1946,474265
Cyprus,CYP,1947,478710
Cyprus,CYP,1948,483197
Cyprus,CYP,1949,488274
Cyprus,CYP,1950,493884
Cyprus,CYP,1951,501060
Cyprus,CYP,1952,508693
Cyprus,CYP,1953,516735
Cyprus,CYP,1954,525118
Cyprus,CYP,1955,533873
Cyprus,CYP,1956,543081
Cyprus,CYP,1957,552830
Cyprus,CYP,1958,563293
Cyprus,CYP,1959,574569
Cyprus,CYP,1960,586494
Cyprus,CYP,1961,595522
Cyprus,CYP,1962,601471
Cyprus,CYP,1963,607254
Cyprus,CYP,1964,612531
Cyprus,CYP,1965,617743
Cyprus,CYP,1966,623392
Cyprus,CYP,1967,629253
Cyprus,CYP,1968,635164
Cyprus,CYP,1969,641195
Cyprus,CYP,1970,647444
Cyprus,CYP,1971,654058
Cyprus,CYP,1972,661068
Cyprus,CYP,1973,665945
Cyprus,CYP,1974,663265
Cyprus,CYP,1975,659408
Cyprus,CYP,1976,662044
Cyprus,CYP,1977,667104
Cyprus,CYP,1978,672258
Cyprus,CYP,1979,677550
Cyprus,CYP,1980,683082
Cyprus,CYP,1981,688895
Cyprus,CYP,1982,696503
Cyprus,CYP,1983,707223
Cyprus,CYP,1984,719345
Cyprus,CYP,1985,731290
Cyprus,CYP,1986,743116
Cyprus,CYP,1987,754796
Cyprus,CYP,1988,766239
Cyprus,CYP,1989,777429
Cyprus,CYP,1990,788354
Cyprus,CYP,1991,798950
Cyprus,CYP,1992,810343
Cyprus,CYP,1993,826042
Cyprus,CYP,1994,844669
Cyprus,CYP,1995,862698
Cyprus,CYP,1996,880296
Cyprus,CYP,1997,897576
Cyprus,CYP,1998,914552
Cyprus,CYP,1999,931236
Cyprus,CYP,2000,947667
Cyprus,CYP,2001,964129
Cyprus,CYP,2002,981443
Cyprus,CYP,2003,999602
Cyprus,CYP,2004,1017877
Cyprus,CYP,2005,1036156
Cyprus,CYP,2006,1054425
Cyprus,CYP,2007,1072726
Cyprus,CYP,2008,1091028
Cyprus,CYP,2009,1109377
Cyprus,CYP,2010,1127825
Cyprus,CYP,2011,1146492
Cyprus,CYP,2012,1165402
Cyprus,CYP,2013,1183899
Cyprus,CYP,2014,1201807
Cyprus,CYP,2015,1219504
Cyprus,CYP,2016,1237116
Cyprus,CYP,2017,1254273
Cyprus,CYP,2018,1270743
Cyprus,CYP,2019,1286669
Cyprus,CYP,2020,1302250
Cyprus,CYP,2021,1317312
Cyprus,CYP,2022,1331376
Cyprus,CYP,2023,1344979
Czechia,CZE,1942,11054000
Czechia,CZE,1943,11035000
Czechia,CZE,1944,11109000
Czechia,CZE,1945,10693000
Czechia,CZE,1946,9523000
Czechia,CZE,1947,8765000
Czechia,CZE,1948,8828360
Czechia,CZE,1949,8868627
Czechia,CZE,1950,8916714
Czechia,CZE,1951,8997245
Czechia,CZE,1952,9077206
Czechia,CZE,1953,9152603
Czechia,CZE,1954,9221189
Czechia,CZE,1955,9289428
Czechia,CZE,1956,9358022
Czechia,CZE,1957,9418970
Czechia,CZE,1958,9469711
Czechia,CZE,1959,9508387
Czechia,CZE,1960,9541603
Czechia,CZE,1961,9573387
Czechia,CZE,1962,9597462
Czechia,CZE,1963,9627332
Czechia,CZE,1964,9668744
Czechia,CZE,1965,9706844
Czechia,CZE,1966,9736243
Czechia,CZE,1967,9758986
Czechia,CZE,1968,9775114
Czechia,CZE,1969,9787791
Czechia,CZE,1970,9801251
Czechia,CZE,1971,9822783
Czechia,CZE,1972,9858071
Czechia,CZE,1973,9906212
Czechia,CZE,1974,9965950
Czechia,CZE,1975,10030787
Czechia,CZE,1976,10092942
Czechia,CZE,1977,10149370
Czechia,CZE,1978,10200749
Czechia,CZE,1979,10246154
Czechia,CZE,1980,10275404
Czechia,CZE,1981,10289517
Czechia,CZE,1982,10299007
Czechia,CZE,1983,10302947
Czechia,CZE,1984,10303815
Czechia,CZE,1985,10305142
Czechia,CZE,1986,10304373
Czechia,CZE,1987,10303423
Czechia,CZE,1988,10305448
Czechia,CZE,1989,10305609
Czechia,CZE,1990,10301990
Czechia,CZE,1991,10304419
Czechia,CZE,1992,10312449
Czechia,CZE,1993,10320402
Czechia,CZE,1994,10322332
Czechia,CZE,1995,10312040
Czechia,CZE,1996,10296139
Czechia,CZE,1997,10280049
Czechia,CZE,1998,10265431
Czechia,CZE,1999,10251383
Czechia,CZE,2000,10236809
Czechia,CZE,2001,10231941
Czechia,CZE,2002,10239474
Czechia,CZE,2003,10248907
Czechia,CZE,2004,10261454
Czechia,CZE,2005,10280158
Czechia,CZE,2006,10304594
Czechia,CZE,2007,10337541
Czechia,CZE,2008,10378296
Czechia,CZE,2009,10420986
Czechia,CZE,2010,10464035
Czechia,CZE,2011,10495508
Czechia,CZE,2012,10507338
Czechia,CZE,2013,10511164
Czechia,CZE,2014,10517222
Czechia,CZE,2015,10524419
Czechia,CZE,2016,10531947
Czechia,CZE,2017,10541343
Czechia,CZE,2018,10548935
Czechia,CZE,2019,10554871
Czechia,CZE,2020,10550130
Czechia,CZE,2021,10530683
Czechia,CZE,2022,10673216
Czechia,CZE,2023,10809722
Denmark,DNK,1942,3922171
Denmark,DNK,1943,3964943
Denmark,DNK,1944,4008181
Denmark,DNK,1945,4051891
Denmark,DNK,1946,4096077
Denmark,DNK,1947,4140745
Denmark,DNK,1948,4185901
Denmark,DNK,1949,4228235
Denmark,DNK,1950,4268408
Denmark,DNK,1951,4300264
Denmark,DNK,1952,4332237
Denmark,DNK,1953,4369108
Denmark,DNK,1954,4406405
Denmark,DNK,1955,4438843
Denmark,DNK,1956,4466341
Denmark,DNK,1957,4489659
Denmark,DNK,1958,4516071
Denmark,DNK,1959,4548480
Denmark,DNK,1960,4579349
Denmark,DNK,1961,4611357
Denmark,DNK,1962,4647466
Denmark,DNK,1963,4684268
Denmark,DNK,1964,4721889
Denmark,DNK,1965,4758838
Denmark,DNK,1966,4797200
Denmark,DNK,1967,4835223
Denmark,DNK,1968,4864801
Denmark,DNK,1969,4891800
Denmark,DNK,1970,4928676
Denmark,DNK,1971,4963062
Denmark,DNK,1972,4991568
Denmark,DNK,1973,5021765
Denmark,DNK,1974,5045638
Denmark,DNK,1975,5060403
Denmark,DNK,1976,5072804
Denmark,DNK,1977,5088574
Denmark,DNK,1978,5104342
Denmark,DNK,1979,5116861
Denmark,DNK,1980,5123078
Denmark,DNK,1981,5121628
Denmark,DNK,1982,5117897
Denmark,DNK,1983,5114468
Denmark,DNK,1984,5111830
Denmark,DNK,1985,5113878
Denmark,DNK,1986,5120691
Denmark,DNK,1987,5127135
Denmark,DNK,1988,5129650
Denmark,DNK,1989,5132717
Denmark,DNK,1990,5141025
Denmark,DNK,1991,5154346
Denmark,DNK,1992,5171371
Denmark,DNK,1993,5188639
Denmark,DNK,1994,5206190
Denmark,DNK,1995,5233363
Denmark,DNK,1996,5263072
Denmark,DNK,1997,5285041
Denmark,DNK,1998,5304264
Denmark,DNK,1999,5321814
Denmark,DNK,2000,5339660
Denmark,DNK,2001,5358825
Denmark,DNK,2002,5375966
Denmark,DNK,2003,5390622
Denmark,DNK,2004,5404594
Denmark,DNK,2005,5419551
Denmark,DNK,2006,5437421
Denmark,DNK,2007,5461604
Denmark,DNK,2008,5493766
Denmark,DNK,2009,5523168
Denmark,DNK,2010,5547866
Denmark,DNK,2011,5570846
Denmark,DNK,2012,5591912
Denmark,DNK,2013,5615334
Denmark,DNK,2014,5643793
Denmark,DNK,2015,5683698
Denmark,DNK,2016,5728198
Denmark,DNK,2017,5765168
Denmark,DNK,2018,5793825
Denmark,DNK,2019,5814619
Denmark,DNK,2020,5831530
Denmark,DNK,2021,5856773
Denmark,DNK,2022,5902898
Denmark,DNK,2023,5948134
Estonia,EST,1942,1114940
Estonia,EST,1943,1112289
Estonia,EST,1944,1109645
Estonia,EST,1945,1107007
Estonia,EST,1946,1104375
Estonia,EST,1947,1101750
Estonia,EST,1948,1099131
Estonia,EST,1949,1099233
Estonia,EST,1950,1102046
Estonia,EST,1951,1116194
Estonia,EST,1952,1129876
Estonia,EST,1953,1142642
Estonia,EST,1954,1154811
Estonia,EST,1955,1166878
Estonia,EST,1956,1178166
Estonia,EST,1957,1188784
Estonia,EST,1958,1200410
Estonia,EST,1959,1209942
Estonia,EST,1960,1220465
Estonia,EST,1961,1235170
Estonia,EST,1962,1249634
Estonia,EST,1963,1263755
Estonia,EST,1964,1278342
Estonia,EST,1965,1292805
Estonia,EST,1966,1306445
Estonia,EST,1967,1320059
Estonia,EST,1968,1334308
Estonia,EST,1969,1348697
Estonia,EST,1970,1361873
Estonia,EST,1971,1374524
Estonia,EST,1972,1387215
Estonia,EST,1973,1399343
Estonia,EST,1974,1411552
Estonia,EST,1975,1423506
Estonia,EST,1976,1434868
Estonia,EST,1977,1446570
Estonia,EST,1978,1458230
Estonia,EST,1979,1468020
Estonia,EST,1980,1476465
Estonia,EST,1981,1485343
Estonia,EST,1982,1494911
Estonia,EST,1983,1505247
Estonia,EST,1984,1515614
Estonia,EST,1985,1525281
Estonia,EST,1986,1535594
Estonia,EST,1987,1547259
Estonia,EST,1988,1559099
Estonia,EST,1989,1567590
Estonia,EST,1990,1570310
Estonia,EST,1991,1565380
Estonia,EST,1992,1540213
Estonia,EST,1993,1504344
Estonia,EST,1994,1475716
Estonia,EST,1995,1452776
Estonia,EST,1996,1434655
Estonia,EST,1997,1421494
Estonia,EST,1998,1411206
Estonia,EST,1999,1403579
Estonia,EST,2000,1397001
Estonia,EST,2001,1388174
Estonia,EST,2002,1379438
Estonia,EST,2003,1370849
Estonia,EST,2004,1362682
Estonia,EST,2005,1354847
Estonia,EST,2006,1346884
Estonia,EST,2007,1340709
Estonia,EST,2008,1337078
Estonia,EST,2009,1334528
Estonia,EST,2010,1331450
Estonia,EST,2011,1327366
Estonia,EST,2012,1322616
Estonia,EST,2013,1317921
Estonia,EST,2014,1314456
Estonia,EST,2015,1314581
Estonia,EST,2016,1315850
Estonia,EST,2017,1317432
Estonia,EST,2018,1321971
Estonia,EST,2019,1326821
Estonia,EST,2020,1329674
Estonia,EST,2021,1331750
Estonia,EST,2022,1350092
Estonia,EST,2023,1367194
Finland,FIN,1942,3753257
Finland,FIN,1943,3783678
Finland,FIN,1944,3814345
Finland,FIN,1945,3845261
Finland,FIN,1946,3876427
Finland,FIN,1947,3907846
Finland,FIN,1948,3939520
Finland,FIN,1949,3972991
Finland,FIN,1950,4008410
Finland,FIN,1951,4047649
Finland,FIN,1952,4090838
Finland,FIN,1953,4139764
Finland,FIN,1954,4187257
Finland,FIN,1955,4235198
Finland,FIN,1956,4281931
Finland,FIN,1957,4324192
Finland,FIN,1958,4359881
Finland,FIN,1959,4394750
Finland,FIN,1960,4429631
Finland,FIN,1961,4460997
Finland,FIN,1962,4491737
Finland,FIN,1963,4523897
Finland,FIN,1964,4549092
Finland,FIN,1965,4564150
Finland,FIN,1966,4581447
Finland,FIN,1967,4606643
Finland,FIN,1968,4627350
Finland,FIN,1969,4624083
Finland,FIN,1970,4606308
Finland,FIN,1971,4612135
Finland,FIN,1972,4639549
Finland,FIN,1973,4665910
Finland,FIN,1974,4690365
Finland,FIN,1975,4711174
Finland,FIN,1976,4725341
Finland,FIN,1977,4738579
Finland,FIN,1978,4752243
Finland,FIN,1979,4764439
Finland,FIN,1980,4779361
Finland,FIN,1981,4799850
Finland,FIN,1982,4826882
Finland,FIN,1983,4855793
Finland,FIN,1984,4881827
Finland,FIN,1985,4902263
Finland,FIN,1986,4918255
Finland,FIN,1987,4932259
Finland,FIN,1988,4946629
Finland,FIN,1989,4964527
Finland,FIN,1990,4986574
Finland,FIN,1991,5013889
Finland,FIN,1992,5042147
Finland,FIN,1993,5066592
Finland,FIN,1994,5088454
Finland,FIN,1995,5107920
Finland,FIN,1996,5124716
Finland,FIN,1997,5139926
Finland,FIN,1998,5153548
Finland,FIN,1999,5165515
Finland,FIN,2000,5176198
Finland,FIN,2001,5187973
Finland,FIN,2002,5200549
Finland,FIN,2003,5212955
Finland,FIN,2004,5228144
Finland,FIN,2005,5246083
Finland,FIN,2006,5266247
Finland,FIN,2007,5288716
Finland,FIN,2008,5313381
Finland,FIN,2009,5338855
Finland,FIN,2010,5363347
Finland,FIN,2011,5388236
Finland,FIN,2012,5413978
Finland,FIN,2013,5439058
Finland,FIN,2014,5461686
Finland,FIN,2015,5479718
Finland,FIN,2016,5495469
Finland,FIN,2017,5508399
Finland,FIN,2018,5515732
Finland,FIN,2019,5521755
Finland,FIN,2020,5529617
Finland,FIN,2021,5541068
Finland,FIN,2022,5569299
Finland,FIN,2023,5601185
France,FRA,1942,40507882
France,FRA,1943,40655418
France,FRA,1944,40803492
France,FRA,1945,40952105
France,FRA,1946,41101259
France,FRA,1947,41250956
France,FRA,1948,41401199
France,FRA,1949,41598134
France,FRA,1950,41883122
France,FRA,1951,42333662
France,FRA,1952,42780273
France,FRA,1953,43227873
France,FRA,1954,43676897
France,FRA,1955,44136093
France,FRA,1956,44588523
France,FRA,1957,45036374
France,FRA,1958,45493502
France,FRA,1959,45963766
France,FRA,1960,46428136
France,FRA,1961,46893841
France,FRA,1962,47352625
France,FRA,1963,47817824
France,FRA,1964,48319085
France,FRA,1965,48772824
France,FRA,1966,49184652
France,FRA,1967,49574907
France,FRA,1968,49947252
France,FRA,1969,50355300
France,FRA,1970,50813071
France,FRA,1971,51293056
France,FRA,1972,51743877
France,FRA,1973,52162212
France,FRA,1974,52504744
France,FRA,1975,52746322
France,FRA,1976,52959120
France,FRA,1977,53197133
France,FRA,1978,53429668
France,FRA,1979,53660897
France,FRA,1980,53941061
France,FRA,1981,54255004
France,FRA,1982,54582405
France,FRA,1983,54889407
France,FRA,1984,55176626
France,FRA,1985,55467154
France,FRA,1986,55752833
France,FRA,1987,56048365
France,FRA,1988,56361846
France,FRA,1989,56685081
France,FRA,1990,56990239
France,FRA,1991,57271563
France,FRA,1992,57554865
France,FRA,1993,57801260
France,FRA,1994,57999868
France,FRA,1995,58192206
France,FRA,1996,58380637
France,FRA,1997,58568662
France,FRA,1998,58778817
France,FRA,1999,59084208
France,FRA,2000,59483716
France,FRA,2001,59905130
France,FRA,2002,60327247
France,FRA,2003,60741121
France,FRA,2004,61175243
France,FRA,2005,61625030
France,FRA,2006,62049831
France,FRA,2007,62432438
France,FRA,2008,62780187
France,FRA,2009,63106461
France,FRA,2010,63417366
France,FRA,2011,63733777
France,FRA,2012,64058465
France,FRA,2013,64387736
France,FRA,2014,64692495
France,FRA,2015,64916336
France,FRA,2016,65086852
France,FRA,2017,65284775
France,FRA,2018,65519539
France,FRA,2019,65729460
France,FRA,2020,65905273
France,FRA,2021,66083547
France,FRA,2022,66277412
France,FRA,2023,66438828
Germany,DEU,1942,71830612
Germany,DEU,1943,71678963
Germany,DEU,1944,71527635
Germany,DEU,1945,71376625
Germany,DEU,1946,71225935
Germany,DEU,1947,71075562
Germany,DEU,1948,70925507
Germany,DEU,1949,70888212
Germany,DEU,1950,69847777
Germany,DEU,1951,69782048
Germany,DEU,1952,69826946
Germany,DEU,1953,69935116
Germany,DEU,1954,70104623
Germany,DEU,1955,70334148
Germany,DEU,1956,70613899
Germany,DEU,1957,71088144
Germany,DEU,1958,71694672
Germany,DEU,1959,72241715
Germany,DEU,1960,72811637
Germany,DEU,1961,73376111
Germany,DEU,1962,73997001
Germany,DEU,1963,74698006
Germany,DEU,1964,75313477
Germany,DEU,1965,75966964
Germany,DEU,1966,76611028
Germany,DEU,1967,76970793
Germany,DEU,1968,77321278
Germany,DEU,1969,77944023
Germany,DEU,1970,78205102
Germany,DEU,1971,78345873
Germany,DEU,1972,78719923
Germany,DEU,1973,78966976
Germany,DEU,1974,78996693
Germany,DEU,1975,78701861
Germany,DEU,1976,78364503
Germany,DEU,1977,78185560
Germany,DEU,1978,78115357
Germany,DEU,1979,78147899
Germany,DEU,1980,78315374
Germany,DEU,1981,78448044
Germany,DEU,1982,78393671
Germany,DEU,1983,78224137
Germany,DEU,1984,77998199
Germany,DEU,1985,77863423
Germany,DEU,1986,77923807
Germany,DEU,1987,78062321
Germany,DEU,1988,78385993
Germany,DEU,1989,79007063
Germany,DEU,1990,79707964
Germany,DEU,1991,80303189
Germany,DEU,1992,80934901
Germany,DEU,1993,81486770
Germany,DEU,1994,81773612
Germany,DEU,1995,82019890
Germany,DEU,1996,82263195
Germany,DEU,1997,82389631
Germany,DEU,1998,82011933
Germany,DEU,1999,81678279
Germany,DEU,2000,81797255
Germany,DEU,2001,81933883
Germany,DEU,2002,82068328
Germany,DEU,2003,82111619
Germany,DEU,2004,82092706
Germany,DEU,2005,82046731
Germany,DEU,2006,81701971
Germany,DEU,2007,81298546
Germany,DEU,2008,81110781
Germany,DEU,2009,80935275
Germany,DEU,2010,80830917
Germany,DEU,2011,80857877
Germany,DEU,2012,80916393
Germany,DEU,2013,81041580
Germany,DEU,2014,81376078
Germany,DEU,2015,82077546
Germany,DEU,2016,82760100
Germany,DEU,2017,83104012
